epoch,update_time,train_loss,valid_loss,mcd
90,1534228237.17,30.9207132513,32.4431762695,
91,1534228558.13,30.8337629492,32.1125470942,
92,1534228875.1,30.7149748369,32.0458405235,
93,1534229188.54,30.5220078555,31.8443312211,
94,1534229502.33,30.5610108809,31.8703578602,
95,1534229823.51,30.485414505,31.7808000391,
96,1534230144.19,30.426523382,31.7563812949,
97,1534230472.69,30.1594937064,31.7752675143,
98,1534230790.14,30.1629975059,31.7440634641,
99,1534231099.77,30.2867840854,31.7261619568,
100,1534231414.99,29.9481906891,31.6343082081,
101,1534231744.56,30.200081912,31.6388496052,
102,1534232073.28,30.1423364119,31.8145682595,
103,1534232391.99,30.0071570657,31.6585190513,
104,1534232710.7,30.1286841306,31.7074659521,
105,1534233028.43,29.9788388339,31.5844232386,
106,1534233338.22,30.0638606332,31.6779967221,
107,1534233645.78,30.1511254744,31.8183767145,
108,1534233953.42,30.0259468772,31.6648696553,
109,1534234261.21,29.9416184859,31.7137260437,
110,1534234570.47,29.755088286,31.5969130776,
111,1534234880.75,29.8850884871,31.6546545896,
112,1534235189.3,29.8745583621,31.5819556496,
113,1534235505.23,29.9491793893,31.5923430703,
114,1534235813.73,29.979802045,31.6591795141,
115,1534236130.78,29.8104632985,31.6259087649,
116,1534236457.07,29.7480839816,31.6229173487,
117,1534236771.94,29.9442539215,31.8159694672,
118,1534237084.97,29.6923200434,31.6260223389,
119,1534237392.16,29.8815956116,31.6467227936,
120,1534237702.26,29.7427267595,31.7462295185,
121,1534238010.32,29.6686704809,31.7464762601,
122,1534238318.37,29.6782193617,31.8409657912,
123,1534238624.88,29.8765546625,31.6149701205,
124,1534238930.37,29.7952426564,31.6713395552,
125,1534239233.61,29.7926379117,31.7035853646,
126,1534239539.78,29.907781601,31.7330844186,
127,1534239845.1,29.7860299891,31.8496731845,
128,1534240153.19,29.679886211,31.6887836456,
129,1534240455.39,29.8591859991,31.7429601496,
130,1534240761.57,29.6689512079,31.6482422569,
131,1534241067.72,29.709646225,31.7934736772,
132,1534241374.83,29.6731827476,31.8214385293,
133,1534241682.51,29.9022695368,31.7599015669,
134,1534241990.44,29.5858235793,31.7178542397,
135,1534242296.34,29.4852230766,31.6684216586,
136,1534242602.37,29.5527548356,31.6660317508,
137,1534242907.1,29.5657114549,31.789373918,
138,1534243211.66,29.7225525596,31.856292898,
139,1534243517.58,29.6388985027,31.7143752358,
140,1534243826.74,29.4428912076,31.7003787648,
141,1534244132.74,29.4503116608,31.7503160997,
142,1534244441.82,29.6844945387,31.8133981878,
143,1534244761.24,29.5563425584,31.6862671592,
144,1534245089.16,29.4714648507,31.8993799036,
145,1534245406.96,29.3653862693,31.7855871374,
146,1534245718.22,29.3696431247,31.8210298365,
147,1534246023.89,29.3961075869,31.91409059,
148,1534246330.59,29.4288945632,32.0082069744,
149,1534246639.84,29.38533887,31.8291700537,
150,1534246949.31,29.4872689681,31.9213487452,
151,1534247256.18,29.471744364,31.7297085849,
152,1534247561.05,29.4493848627,31.86905202,
153,1534247868.72,29.4933143963,31.8528223905,
154,1534248173.58,29.4662203355,31.9397126978,
155,1534248482.17,29.2864834179,31.8060978976,
156,1534248790.8,29.5493294109,31.9079981717,
157,1534249099.12,29.2868270874,31.9204460491,
158,1534249404.65,29.3876290755,31.9732855017,
159,1534249711.68,29.3548616929,31.9925771193,
160,1534250016.57,29.4874716672,31.8794956207,
161,1534250324.96,29.3581992063,31.8829033592,
162,1534250632.12,29.2852932323,32.0014863448,
163,1534250939.16,29.4178846533,31.9154618003,
164,1534251247.5,29.4754992398,31.9248404069,
165,1534251553.01,29.4373989105,31.9409394698,
166,1534251863.06,29.3532874367,31.9071821733,
167,1534252169.5,29.6088107716,32.0412436399,
168,1534252473.37,29.3679554679,31.8360241977,
169,1534252779.83,29.294002533,32.0893225236,
170,1534253086.43,29.4533687938,32.0253568129,
171,1534253388.86,29.3335912878,31.9706928947,
172,1534253694.75,29.5336092169,31.8725816553,
173,1534254008.34,29.3107135079,32.0935805928,
174,1534254322.82,29.3468653939,32.0673949502,
175,1534254636.45,29.2765293121,32.0624590787,
176,1534254950.91,29.3277260173,32.1011454842,
177,1534255270.39,29.3469638824,32.1958869587,
178,1534255589.76,29.3355745836,32.0356336073,
179,1534255908.01,29.4220284549,32.0392187292,
