epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
1,1534157566.62,42.187303487,42.1182792327,,0.987992315082
2,1534157711.5,39.827688722,39.7782536675,,0.987512007685
3,1534157856.8,39.1894589592,39.2543553184,,0.987271853987
4,1534158001.5,38.8661777833,38.9767233344,,0.984149855908
5,1534158146.66,38.4464950562,38.5471496582,,0.990874159462
6,1534158292.21,38.2721016828,38.4681029039,,0.98967339097
7,1534158438.35,37.9213648964,38.0011364432,,0.989433237272
8,1534158584.6,38.1940525279,38.3087733213,,0.992555235351
9,1534158732.37,37.7933107264,38.032053667,,0.990874159462
10.0,1534159066.22,37.3547229767,37.6380044152,5.64360319156,0.994716618636
