epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
1,1534508931.82,61.2865073464,61.091329748,,0.540029112082
2,1534508954.29,60.5025242892,60.2191966664,,0.713245997089
3,1534508977.23,65.1928665855,65.3569592563,,0.577874818049
4,1534509000.52,79.6817481301,78.075689836,,0.574963609898
5,1534509022.44,70.7916779952,71.0843797164,,0.606986899563
6,1534509044.56,67.5814056396,68.5300827026,,0.656477438137
7,1534509066.58,61.5787686435,62.7533382069,,0.826783114993
8,1534509089.05,76.4184785323,73.4005390514,,0.69577874818
9,1534509111.47,63.6023951444,65.0992070978,,0.754002911208
10.0,1534509157.45,68.1524706754,67.5653554743,13.7971747574,0.733624454148
11,1534509180.53,66.2171103738,65.0503151634,,0.796215429403
12,1534509203.17,62.5387978987,63.2717801874,,0.796215429403
13,1534509225.91,64.9158415361,65.1081536033,,0.797671033479
14,1534509249.04,65.406124115,65.3701820374,,0.759825327511
15,1534509271.24,64.516166687,64.6210504012,,0.784570596798
16,1534509294.01,67.3072381453,67.3358057195,,0.794759825328
17,1534509317.33,66.6401616877,66.3456760753,,0.787481804949
18,1534509340.37,63.9580834129,64.7459404685,,0.786026200873
19,1534509362.89,65.3462007696,65.6043246876,,0.835516739447
20.0,1534509408.15,65.3867360895,65.5924120816,11.846094929,0.866084425036
21,1534509430.77,63.5605454878,64.4542541504,,0.832605531295
22,1534509453.48,65.8729816784,66.0596479936,,0.838427947598
23,1534509475.82,62.9626475247,63.6229244579,,0.834061135371
24,1534509499.15,68.1398599798,69.6174406572,,0.780203784571
25,1534509520.83,64.3497376875,65.9241027832,,0.799126637555
26,1534509543.46,65.0632126548,65.458671223,,0.863173216885
27,1534509565.95,64.4975561662,64.85010806,,0.855895196507
28,1534509587.68,66.4673753218,67.6597401012,,0.807860262009
29,1534509610.82,64.6471755288,66.3017761924,,0.829694323144
30.0,1534509656.5,64.694673018,65.4366146434,11.8298553957,0.855895196507
31,1534509679.15,64.946892825,66.2069577304,,0.842794759825
32,1534509702.26,65.074092865,65.4209951921,,0.836972343523
33,1534509725.2,63.1968897039,64.3783191334,,0.851528384279
34,1534509748.53,63.1398079612,63.8348825628,,0.854439592431
35,1534509771.77,65.2220302929,65.6527768915,,0.844250363901
36,1534509793.69,66.0484164845,65.7016566883,,0.879184861718
37,1534509816.68,64.600813779,65.3048803156,,0.864628820961
38,1534509839.45,65.9685273604,65.815142198,,0.858806404658
39,1534509861.69,66.7369943099,69.4985420921,,0.774381368268
40.0,1534509906.94,64.450592041,65.5859264027,11.4923043059,0.871906841339
41,1534509929.18,64.3684439226,65.7796360363,,0.816593886463
42,1534509951.58,66.957491788,67.970264088,,0.815138282387
43,1534509973.95,66.9393782182,67.0991748463,,0.854439592431
44,1534509996.33,65.5843127858,66.5682851618,,0.858806404658
45,1534510018.68,64.9203512018,65.5708569613,,0.855895196507
46,1534510041.94,65.531458768,66.6733072454,,0.858806404658
47,1534510064.87,65.059887626,66.9591445923,,0.818049490539
48,1534510088.15,64.6338275563,66.4642750133,,0.81077147016
49,1534510110.75,65.0221675526,67.6417957653,,0.850072780204
50.0,1534510156.11,68.7636441317,71.9408486106,13.0721903767,0.83114992722
51,1534510178.54,64.8426114863,65.5228621743,,0.851528384279
52,1534510200.53,68.5242808949,69.3267850009,,0.81077147016
53,1534510222.66,65.1461039456,65.9187663685,,0.844250363901
54,1534510245.33,64.5991353122,65.2523765564,,0.857350800582
55,1534510267.65,64.6634573503,65.2849897905,,0.861717612809
56,1534510289.85,64.8769770536,66.2310728593,,0.842794759825
57,1534510313.08,63.5715058067,64.6725148288,,0.861717612809
58,1534510335.86,62.7650798451,64.8968485052,,0.858806404658
59,1534510358.21,65.7323167974,67.1062982733,,0.838427947598
60.0,1534510403.48,64.1096680381,66.2956809998,11.982852985,0.84133915575
61,1534510424.92,64.328993017,65.436890342,,0.867540029112
62,1534510447.6,64.1922017878,66.1308271235,,0.866084425036
63,1534510470.37,63.637803858,66.1219728643,,0.876273653566
64,1534510492.83,63.9331210743,64.6472154097,,0.883551673945
65,1534510515.46,65.0535989241,65.7118738348,,0.858806404658
66,1534510538.53,65.6201588024,66.7496060458,,0.870451237263
67,1534510560.08,63.7905540466,65.6224569841,,0.877729257642
68,1534510582.66,64.711287065,65.6156910983,,0.866084425036
69,1534510604.82,61.6925003745,64.2987376126,,0.873362445415
70.0,1534510650.65,64.460018158,65.516469782,11.3605540514,0.883551673945
71,1534510674.29,64.4991416931,65.1538155296,,0.860262008734
72,1534510696.06,63.1414888555,65.5505395369,,0.855895196507
73,1534510718.32,64.4801139832,66.6988351995,,0.847161572052
74,1534510741.6,63.4857423956,65.3351801092,,0.863173216885
75,1534510764.1,63.82837677,66.0876825506,,0.84133915575
76,1534510787.57,64.2942352295,65.5428276062,,0.848617176128
77,1534510808.91,63.5685331171,65.5561162775,,0.886462882096
78,1534510831.49,63.8158177462,66.1220061562,,0.848617176128
79,1534510853.69,63.0914781744,64.2128850763,,0.883551673945
80.0,1534510898.44,62.9130987688,64.8364656622,10.750049015,0.877729257642
81,1534510919.93,63.483841636,66.3875059648,,0.858806404658
82,1534510942.16,62.8458525918,65.078057029,,0.876273653566
83,1534510965.07,63.2716355757,65.2152304216,,0.887918486172
84,1534510987.63,62.5781090476,64.281390797,,0.874818049491
85,1534511010.53,62.6318359375,64.489929546,,0.883551673945
86,1534511033.59,62.6349372864,64.5002767389,,0.871906841339
87,1534511056.01,61.6773678173,64.9986971075,,0.863173216885
88,1534511079.02,63.8062296781,65.3468062661,,0.879184861718
89,1534511101.58,64.2513642745,66.2178629095,,0.864628820961
