epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
1,1534342382.45,61.0096130371,61.151831887,,0.494905385735
2,1534342403.71,60.5159717907,60.7531714006,,0.743813682678
3,1534342426.01,61.0749983354,61.6908971613,,0.698689956332
4,1534342447.76,61.6374955611,61.5820211931,,0.774381368268
5,1534342469.6,75.275501598,76.0904513272,,0.582241630277
6,1534342491.15,62.9856113087,63.6700272994,,0.711790393013
7,1534342513.39,64.2562980652,64.8158659502,,0.649199417758
8,1534342534.76,65.5890860124,65.2926389521,,0.711790393013
9,1534342556.15,66.2878667658,66.8238351995,,0.657933042213
10.0,1534342602.5,67.7886158336,67.8879040805,13.8131026994,0.640465793304
11,1534342624.52,65.9925190319,65.5036506653,,0.717612809316
12,1534342647.19,67.2005185214,67.4210253629,,0.595342066958
13,1534342668.92,71.6557575573,72.3416241733,,0.569141193595
14,1534342690.28,68.8741399592,68.3347591053,,0.643377001456
15,1534342711.11,68.1824514216,69.0736937089,,0.550218340611
16,1534342733.3,70.3463897705,73.5309649381,,0.53711790393
17,1534342755.05,72.6577564586,71.5564748591,,0.529839883552
18,1534342776.76,67.5839372115,67.5577676946,,0.609898107715
19,1534342798.53,68.7569094571,69.0719292381,,0.535662299854
20.0,1534342844.51,72.1639279452,71.8120644309,14.0167456623,0.454148471616
21,1534342866.56,71.4654374556,71.8831364025,,0.451237263464
22,1534342888.84,75.4481873946,75.2810544101,,0.411935953421
23,1534342909.77,70.6578799161,72.511761752,,0.411935953421
24,1534342931.49,77.5104383989,78.3683742176,,0.375545851528
25,1534342953.26,76.6121964888,77.5377530185,,0.35807860262
26,1534342974.87,73.5885620117,74.768320257,,0.363901018923
27,1534342995.84,74.4137337425,74.0872435136,,0.33770014556
28,1534343017.62,74.8031741056,77.1143986095,,0.320232896652
29,1534343039.96,78.7508877841,77.138531078,,0.327510917031
30.0,1534343086.74,75.9644955722,73.82702498,12.7224649869,0.340611353712
31,1534343108.13,124.036514282,122.316436768,,0.267831149927
32,1534343130.48,79.2931157892,78.5461294001,,0.288209606987
