epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
1,1535831213.2,65.9459661035,65.9963297002,,0.393611911623
2,1535831368.81,65.2819857317,65.0976803163,,0.518972142171
3,1535831521.62,68.2798061371,68.365858639,,0.520893371758
4,1535831676.92,66.390920639,66.5405015945,,0.609750240154
5,1535831832.21,65.2369436376,65.3117628659,,0.612391930836
6,1535831987.35,67.8726576637,67.6875343323,,0.64553314121
7,1535832143.34,65.516731711,65.4149939593,,0.647454370797
8,1535832297.89,66.2200587217,66.1796306722,,0.662343900096
9,1535832451.67,65.4912805557,65.5720747218,,0.695485110471
10.0,1535832799.16,66.8429014543,66.4770825891,10.957785953,0.676753121998
11,1535832952.68,65.6096752391,65.9829410665,,0.6911623439
12,1535833107.06,66.2583227158,66.031284725,,0.666426512968
13,1535833262.48,65.2734937668,65.4292011261,,0.690441882805
14,1535833416.24,66.2891537161,66.6333891925,,0.656099903939
15,1535833575.07,67.8058512071,67.4426163505,,0.6765129683
16,1535833728.88,65.6916165632,65.9900807773,,0.683477425552
17,1535833883.74,66.7819873585,66.7016284606,,0.680595581172
18,1535834043.71,65.9683248856,66.0192906997,,0.682997118156
19,1535834197.72,66.9211509368,66.7148644503,,0.662584053794
20.0,1535834536.14,66.9137090795,67.2913139007,10.8933605767,0.634726224784
21,1535834689.74,66.9279937183,66.9823969112,,0.645052833814
22,1535834844.48,68.7923861111,68.822316338,,0.627281460134
23,1535834998.77,67.4501247406,67.5927392174,,0.640970220941
24,1535835153.0,68.2459879482,68.5327698764,,0.628962536023
25,1535835306.6,68.8169505175,69.0045255773,,0.611191162344
26,1535835459.97,67.2785508773,67.433814161,,0.637127761768
27,1535835616.01,67.9975233639,68.3195980857,,0.618395773295
28,1535835771.8,70.2367093703,70.1823144801,,0.553794428434
29,1535835927.06,69.9353570377,69.7311623517,,0.525696445725
30.0,1535836266.7,68.0140511008,68.0266772999,10.7279720203,0.548751200768
31,1535836422.42,68.714628444,68.5924309001,,0.597502401537
32,1535836577.44,70.9075155819,70.8091272466,,0.516330451489
33,1535836732.4,68.6638137593,68.650405435,,0.578530259366
34,1535836888.45,68.7146345026,68.6127404606,,0.562439961575
35,1535837043.16,69.7388732013,69.7101534675,,0.531460134486
36,1535837198.34,69.2100816614,69.105015923,,0.538904899135
37,1535837352.83,70.2779037251,70.4891320397,,0.523775216138
38,1535837508.11,68.2921280019,68.5757371117,,0.527857829011
39,1535837662.78,69.0074614357,69.1525021721,,0.559077809798
40.0,1535838003.46,69.5879027423,69.769056208,11.0642201155,0.541066282421
41,1535838158.86,70.4770606546,70.3727993685,,0.563880883766
42,1535838314.41,69.5324639713,69.7994593452,,0.548270893372
43,1535838470.02,68.867618673,69.0775900448,,0.574687800192
44,1535838625.98,68.7496224572,69.1920912126,,0.57204610951
45,1535838781.34,69.1851866105,69.1817376754,,0.569644572526
46,1535838936.91,68.4769908681,68.5714127036,,0.566042267051
47,1535839092.2,69.4827064065,69.8611865324,,0.560518731988
48,1535839246.56,69.2520525315,69.4414484361,,0.560038424592
49,1535839399.97,68.1155641219,68.8261451721,,0.57492795389
50.0,1535839738.04,69.5393286312,69.9106446434,11.2303093222,0.579250720461
51,1535839892.82,69.8358673769,69.8336794236,,0.551633045149
52,1535840047.47,68.8508608201,69.0914525425,,0.550912584054
53,1535840201.18,68.6723549787,68.7712129705,,0.60734870317
54,1535840355.8,68.7237451217,68.8359619589,,0.587415946206
55,1535840509.26,68.8394409628,69.2263790579,,0.5588376561
56,1535840664.44,69.3755843219,69.408419553,,0.600624399616
57,1535840817.98,69.0870314205,69.1273534438,,0.564841498559
58,1535840972.73,69.1136700125,69.7045323989,,0.553314121037
59,1535841126.8,68.303224227,68.5856213289,,0.555235350624
60.0,1535841470.9,69.054131564,69.1420014325,11.0269202463,0.598703170029
61,1535841625.63,69.0577655119,69.4417970321,,0.552113352546
62,1535841778.77,69.0946134679,69.2428274716,,0.564841498559
63,1535841933.93,69.545488021,69.7383637148,,0.582132564841
64,1535842088.3,68.928031136,69.663394928,,0.568683957733
65,1535842244.0,69.3971691132,69.2992147558,,0.560038424592
66,1535842398.89,68.5050737157,68.9107291278,,0.578770413064
67,1535842552.47,68.7858994428,69.2077258615,,0.566042267051
68,1535842705.56,68.8124906877,68.9468518425,,0.56171950048
69,1535842860.86,68.9594475241,69.5157757927,,0.582132564841
70.0,1535843202.25,68.1581895492,68.5769859763,10.5042678191,0.579490874159
71,1535843357.28,68.7424676559,68.8527292364,,0.587896253602
72,1535843510.96,68.7221170313,69.3131159614,,0.564601344861
73,1535843665.81,67.561155207,67.9061823452,,0.598943323727
74,1535843819.29,69.3248938392,69.3086827222,,0.577329490874
75,1535843974.67,68.9990582186,69.2678360659,,0.575168107589
