epoch,update_time,train_loss,valid_loss,mcd
90.0,1531607924.62,32.9413053288,33.3745967641,4.96381397497
91,1531609653.12,,33.2032327091,
92,1531611275.28,,33.1517384473,
93,1531612910.91,,33.09573785,
94,1531614539.69,,33.0673013575,
95,1531616164.37,,33.0506249596,
96,1531617819.71,,33.0124686185,
97,1531619462.38,,33.0108201083,
98,1531621130.17,,32.9932817571,
99,1531622771.77,,32.9558264227,
100.0,1531624738.94,32.4783481991,32.9778615727,4.85687332703
101,1531626463.44,,32.9544439316,
102,1531628101.97,,32.9362656088,
103,1531629752.37,,32.9423895443,
104,1531631371.5,,32.9431452471,
105,1531633021.78,,32.9315421161,
106,1531634695.84,,32.9464593775,
107,1531636347.62,,32.9312612309,
108,1531637976.04,,32.91005028,
109,1531639601.36,,32.8966389824,
110.0,1531641605.28,32.3053176824,32.9054904826,4.86464937182
111,1531643321.38,,32.8878150267,
112,1531644993.93,,32.9063317355,
113,1531646629.19,,32.9254278856,
114,1531648256.52,,32.8894511952,
115,1531649913.94,,32.9018190047,
116,1531651567.43,,32.8938401727,
117,1531653205.45,,32.9107733895,
118,1531654863.27,,32.876091901,
119,1531656497.13,,32.8669827966,
120.0,1531658455.03,32.3337985488,32.8561863619,4.82190621996
121,1531660198.49,,32.8693946951,
122,1531661829.39,,32.8791996451,
123,1531663502.44,,32.8594398499,
124,1531665156.29,,32.8982367796,
125,1531666815.54,,32.8674737706,
126,1531668464.5,,32.8655383166,
127,1531670112.67,,32.8716290418,
128,1531671753.67,,32.8655480217,
129,1531673385.27,,32.8942597894,
130.0,1531675349.18,32.3995605918,32.8764072867,4.8501270293
131,1531677152.27,,32.8518801296,
132,1531678820.8,,32.843009556,
133,1531680448.81,,32.8647894579,
134,1531682116.65,,32.88655584,
135,1531683764.26,,32.8520604302,
136,1531685414.02,,32.8703673307,
137,1531687047.42,,32.8642340267,
138,1531688684.64,,32.888077792,
139,1531690336.47,,32.8860338996,
140.0,1531692296.26,32.2466528275,32.8310717414,4.83818905832
141,1531694020.86,,32.8444315966,
142,1531695677.74,,32.8729091532,
143,1531697336.68,,32.8644784479,
144,1531698974.51,,32.8685666814,
145,1531700615.56,,32.8495500789,
146,1531702271.15,,32.882922453,
147,1531703923.33,,32.889288734,
148,1531705572.04,,32.8393559736,
149,1531707192.99,,32.8928801593,
150.0,1531709191.74,32.2283759959,32.8382314233,4.85249724631
151,1531710917.77,,32.8376295426,
152,1531712567.92,,32.848179144,
153,1531714226.17,,32.8792137258,
154,1531715933.4,,32.8252288033,
155,1531717650.19,,32.8700908773,
156,1531719301.42,,32.8436406079,
157,1531720938.08,,32.9062226239,
158,1531722596.12,,32.8455295002,
159,1531724241.86,,32.8556263307,
160.0,1531726230.51,32.226191689,32.8309542712,4.83457586054
161,1531727965.72,,32.8461027706,
162,1531729641.47,,32.8604573082,
163,1531731343.35,,32.908080101,
