epoch,update_time,train_loss,valid_loss,mcd
90.0,1531076572.84,32.9581312853,33.3690251182,4.95186846843
91.0,1531078338.17,,33.1877812217,
92.0,1531080047.92,,33.1157220953,
93.0,1531081726.96,,33.0408845789,
94.0,1531083424.13,,33.0390777027,
95.0,1531085125.37,,33.0129166771,
96.0,1531086793.43,,32.9794143789,
97.0,1531088487.52,,32.9774642271,
98.0,1531090165.13,,32.9517237719,
99.0,1531091860.32,,32.9732847775,
100.0,1531093869.52,32.4910826683,32.9602096782,4.85647688945
101.0,1531095664.96,,32.9797144497,
102.0,1531097372.01,,32.9405885023,
103.0,1531099041.74,,32.9307028827,
104.0,1531100761.85,,32.9294809454,
105.0,1531102439.48,,32.9346416137,
106.0,1531104109.7,,32.929654458,
107.0,1531105791.28,,32.9256872289,
108.0,1531107453.55,,32.9298371147,
109.0,1531109166.27,,32.9520880755,
110.0,1531111166.57,32.4620378999,32.9437241274,4.85756653053
111.0,1531112953.56,,32.9198919745,
112.0,1531114666.3,,32.9523107304,
113.0,1531116343.87,,32.9205224654,
114.0,1531118036.66,,32.9410711176,
115.0,1531119709.63,,32.938864147,
116.0,1531121382.82,,32.9428972356,
117.0,1531123052.03,,32.9097384285,
118.0,1531124732.8,,32.8939349792,
119.0,1531126411.04,,32.9191726236,
120.0,1531179378.54,32.4049897194,32.9358703389,4.87658626198
121,1531181138.87,,32.922104555,
122,1531182794.3,,32.8891983032,
123,1531184496.77,,32.9334619186,
124,1531186174.14,,32.8979289111,
125,1531187844.92,,32.8837032879,
126,1531189559.08,,32.9003156774,
127,1531191260.97,,32.8872728909,
128,1531192954.78,,32.8877881555,
129,1531194594.9,,32.9160712186,
130.0,1531196583.63,32.405870073,32.9313870037,4.85790320763
131,1531198337.6,,32.9092925016,
132,1531200015.63,,32.9531252244,
133,1531201692.17,,32.917559231,
134,1531203365.94,,32.8911887337,
135,1531205065.74,,32.8942876704,
136,1531206720.99,,32.8916455437,
137,1531208395.64,,32.9095324348,
138,1531210084.78,,32.9961606194,
139,1531211759.61,,33.0153636932,
140.0,1531213792.62,32.6650761436,33.1766571157,4.91326603998
141,1531215546.71,,33.052303763,
142,1531217251.99,,33.0088923959,
143,1531218925.72,,33.0248321084,
144,1531220582.09,,33.0630506628,
145,1531222244.68,,33.0277876012,
146,1531223919.82,,33.0153132607,
147,1531225589.58,,33.0013196609,
148,1531227243.62,,32.9609373878,
149,1531228899.88,,33.1164997886,
150.0,1531230892.28,32.5811727748,33.1207192926,4.87119106396
151,1531232644.28,,33.0276531332,
152,1531234323.41,,33.1700667774,
153,1531235983.37,,33.1302481259,
154,1531237620.01,,33.2688088137,
155,1531239283.92,,33.3382880828,
156,1531240933.41,,33.2800199845,
157,1531242608.07,,33.2572493834,
158,1531244256.66,,33.1820193459,
159,1531245916.19,,33.3044275957,
160.0,1531247900.4,32.7155226539,33.2726806753,4.9342437085
161,1531249630.27,,33.3512965932,
162,1531251262.97,,33.2908068825,
163,1531252911.24,,33.3250738032,
164,1531254560.94,,33.3032896378,
165,1531256233.64,,33.3459768856,
166,1531257864.71,,33.3094614814,
167,1531259533.84,,33.2981564017,
168,1531261194.28,,33.3851955638,
169,1531262851.33,,33.3486076804,
170.0,1531264834.03,32.7667531406,33.3090212766,4.94142859308
171,1531266556.06,,33.2505824145,
172,1531268217.26,,33.3859290516,
173,1531269886.25,,33.3080052768,
174,1531271540.67,,33.3695614759,
175,1531273197.83,,33.3587435554,
176,1531274843.82,,33.3516564089,
177,1531276473.53,,33.4715442096,
178,1531278142.3,,33.3896349178,
179,1531279770.75,,33.547320422,
180.0,1531281768.56,33.0319360284,33.4452204985,4.99118183038
181,1531283492.48,,33.2698324428,
182,1531285138.53,,33.3438476675,
183,1531286775.27,,33.3004101585,
184,1531288435.62,,33.3514972575,
185,1531290115.02,,33.3455514908,
186,1531291743.4,,33.3708998175,
187,1531293406.98,,33.2511936637,
188,1531295043.31,,33.3180571724,
189,1531296681.73,,33.3257377849,
190.0,1531298656.42,32.8514405419,33.3557761136,4.96720261018
191,1531300411.77,,33.3019782796,
192,1531302046.68,,33.3428238139,
193,1531303667.22,,33.4641764585,
194,1531305336.19,,33.4936595805,
195,1531306989.24,,33.4795110366,
196,1531308611.95,,33.4135317522,
197,1531310260.3,,33.4057247498,
198,1531311898.82,,33.5958869037,
199,1531313534.94,,33.48104404,
200.0,1531315501.17,33.0914928773,33.4919786453,4.99423885456
201,1531317214.36,,33.4662292144,
202,1531318859.16,,33.5367029414,
203,1531320497.1,,33.6968373691,
204,1531322140.43,,33.5435877968,
205,1531323761.23,,33.5046018713,
206,1531325406.9,,33.5192193424,
207,1531327051.79,,33.314619457,
208,1531328675.81,,33.3807682711,
209,1531330305.05,,33.416231492,
