epoch,update_time,train_loss,valid_loss
1.0,1530616888.03,46.9919511878,46.675618901
2.0,1530618678.04,42.360768886,45.0424523634
3.0,1530620456.54,41.331555173,44.0271031436
4.0,1530622231.46,40.7896649797,43.5294715657
5.0,1530624043.08,40.3213587365,42.932042178
6.0,1530625855.72,40.0007928282,42.6007710625
7.0,1530627661.92,39.7622795143,42.3264662799
8.0,1530629469.33,39.5240092349,42.192155277
9.0,1530631275.76,39.4183522406,42.0189709944
10.0,1530633097.29,39.2513798722,42.0105676651
11.0,1530634900.42,39.1749576365,41.7761472253
12.0,1530636707.1,39.0342790205,41.7261942134
13.0,1530638490.48,38.9352894769,41.5418430777
14.0,1530640295.86,38.8945196602,41.7401598762
15.0,1530642067.5,38.8242979554,41.5129157796
16.0,1530643864.24,38.7695440853,41.4152268802
17.0,1530645667.56,38.6494397647,41.2070019105
18.0,1530647473.16,38.6319718757,41.1947831547
19.0,1530649305.06,38.591569213,41.2432022095
20.0,1530651106.1,38.604094374,41.1694362304
21.0,1530652922.91,38.5035098785,41.154523569
22.0,1530654704.28,38.4690997871,41.2109831642
23.0,1530656507.08,38.4143772787,41.042469193
24.0,1530658287.92,38.3281900528,40.9946547677
25.0,1530660087.79,38.4255115102,40.9956581452
26.0,1530661897.5,38.3525093702,41.0723266602
27.0,1530663703.54,38.3017415053,40.8354056302
28.0,1530665507.98,38.2439665992,41.0291139939
29.0,1530667322.39,38.2290144627,40.8012498407
30.0,1530669136.57,38.1948555452,40.9576123742
31.0,1530670956.91,38.126702509,40.6715385213
32.0,1530672744.39,38.1325640685,40.8276441798
33.0,1530674550.38,38.0556778213,40.6834809359
34.0,1530676347.37,38.0294048431,40.6521423003
35.0,1530678117.93,38.0027859222,40.5379348082
36.0,1530679903.72,37.9947420888,40.6340224322
37.0,1530681687.44,37.967678511,40.5495252609
38.0,1530683496.31,37.9470656248,40.5212582981
39.0,1530685308.11,37.8966396553,40.4833870495
40.0,1530687121.75,37.8656790007,40.4278786042
41.0,1530688925.73,37.8932976309,40.497897653
42.0,1530690719.4,37.8600948189,40.5570061067
43.0,1530692521.29,37.8177159077,40.4157428741
44.0,1530694320.94,37.8212130128,40.5170712191
45.0,1530696130.74,37.7847571796,40.4301855985
46.0,1530697903.3,37.8034233327,40.3453612047
47.0,1530725719.95,37.3250219072,40.4460857616
48.0,1530727554.03,37.7587406823,40.3889459161
49.0,1530729418.71,37.755554378,40.4322362227
50.0,1530731246.98,37.7092294678,40.3934047362
51.0,1530733162.24,37.6685095754,40.4649915695
52.0,1530735051.33,37.6589156677,40.3684198155
53.0,1530736880.7,37.6727083975,40.2806874444
54.0,1530738755.13,37.6017604728,40.3460415111
55.0,1530740570.49,37.6567954767,40.2975680407
56.0,1530742432.6,37.5937200275,40.2760138231
57.0,1530744282.65,37.6350203948,40.2728166019
58.0,1530746132.96,37.5930118644,40.4263560351
59.0,1530747969.27,37.579853902,40.4118522195
60.0,1530749823.71,37.570114799,40.3259520811
61.0,1530751663.56,37.5527752084,40.3391468946
62.0,1530753478.02,37.5275013401,40.342126117
63.0,1530755294.66,37.5005087162,40.2916911069
64.0,1530757105.16,37.5027444998,40.2123396817
65.0,1530758917.38,37.5022100121,40.2419726428
66.0,1530760740.32,37.5096271342,40.1798652761
67.0,1530762641.92,37.4751335621,40.3584124621
68.0,1530764528.57,37.4937597844,40.2493667042
69.0,1530766381.51,37.4451941307,40.237539067
70.0,1530768226.99,37.4886548136,40.1951880736
71.0,1530770108.61,37.4642785173,40.1625009986
72.0,1530771929.27,37.4432788079,40.248664856
73.0,1530773786.25,37.4351408096,40.1019098057
74.0,1530775627.48,37.4091100311,40.2492410435
75.0,1530786627.66,39.5778926962,40.1245800467
