epoch,update_time,train_loss,train_loss_mse,train_loss_kld,valid_loss,valid_loss_mse,valid_loss_kld,mcd
1,1534593086.05,66.0667334164,66.0667334164,0.00777337932274,47.3413283965,47.3413283965,4.68775595637,
2,1534595869.1,65.1532752093,65.1530498056,0.00653432913618,45.4510462705,45.3148673001,3.94919147211,
3,1534598680.68,68.3188263388,68.3183038375,0.00758019078742,45.0472087299,44.7856943467,3.79196191185,
4,1534601483.97,66.5501772376,66.549337892,0.00811022329692,44.4885367786,44.1355622235,3.41208694612,
5,1534604289.61,65.3066228418,65.3051211413,0.0108873326167,44.0709110709,43.6487342049,3.06078306016,
6,1534607086.68,67.4931479061,67.4905923395,0.0148206873085,43.9867388781,43.4834564994,2.9190382116,
7,1534609900.08,65.5060295217,65.5016938378,0.0209573301596,43.5298449572,43.0211788065,2.45855292152,
8,1534612702.31,66.1598055783,66.1529252108,0.0285044332473,43.4086720523,42.8469479505,2.32714351836,
9,1534615496.61,65.3204193115,65.3080611509,0.0447990843369,43.1205661437,42.5488349129,2.07252573266,
10,1534618302.91,66.6804958792,66.6625151354,0.0579380125684,43.1569742876,42.585627668,1.84100554095,
11,1534621105.75,65.9973757127,65.9671345879,0.087698865134,43.0353862538,42.4837271746,1.59981129801,
12,1534623908.97,66.2627500646,66.2172443726,0.11997037863,43.1014568665,42.579921498,1.37495705485,
13,1534626712.04,64.941186961,64.8871963725,0.130477833288,42.741243699,42.2138486189,1.27453774389,
14,1534629497.7,66.3009580163,66.2245191125,0.17051695857,42.7274971569,42.2248233907,1.12134859141,
15,1534632280.43,67.6503845664,67.5569332347,0.193578297601,42.6597394943,42.1617295321,1.03159188698,
16,1534635055.36,65.8092004552,65.7027169957,0.205868928967,42.5560345369,42.0458790835,0.98630093564,
17,1534637843.11,66.5379131542,66.3991872563,0.251441045938,42.5441945581,42.0494572135,0.896711304784,
18,1534640618.01,65.747814459,65.5828740176,0.281368821859,42.5964068805,42.1469779856,0.766672710285,
19,1534643405.36,66.5217341255,66.350583357,0.275742934031,42.542177593,42.0973179761,0.716718014549,
20,1534646185.77,67.0847736246,66.8945607017,0.290325681953,42.4675576266,42.0333619959,0.66272015782,
21,1534648972.42,66.750008527,66.5326669917,0.315144738292,42.5531381719,42.1213755888,0.626055875245,
22,1534651752.45,68.9325662501,68.6938671785,0.329631869407,42.3662092545,41.9767673717,0.537800455356,
23,1534654529.76,67.616533616,67.3427112804,0.360947310486,42.3899909749,41.9926593444,0.523754910073,
24,1534657316.61,68.0630038766,67.7703843958,0.368954974501,42.3744091146,41.9908295239,0.483644082266,
25,1534660091.98,68.8310615315,68.532021803,0.361339330235,42.3689998739,41.9772302403,0.473388366401,
26,1534662877.92,67.4623428794,67.1240095251,0.392466839184,42.1753382402,41.8333243763,0.396736248889,
27,1534665671.01,68.2061087664,67.8520631229,0.394897210686,42.2321274701,41.8697901894,0.404145337641,
28,1534668453.38,70.284140643,69.9035286623,0.408805481651,42.4016517751,42.1016626358,0.32221044337,
29,1534671239.95,69.4635119719,69.0511608124,0.427078169935,42.2688738318,41.9695818284,0.309981023783,
30,1534674019.27,67.766465692,67.3457853093,0.420680551406,42.071688652,41.7482713812,0.323417128009,
31,1534676808.9,68.6707127515,68.2244576847,0.446255225469,42.1978406906,41.8650457158,0.332794958616,
32,1534679580.55,70.4377889072,70.0068509719,0.43093768814,42.2605800629,41.9711165709,0.289463393828,
33,1534682367.04,68.5348730648,68.094967786,0.439905142083,41.9533368279,41.6305266549,0.322810433805,
34,1534685153.93,68.539766536,68.1069156422,0.432850745233,41.9600660661,41.6639826718,0.296083296047,
35,1534687941.97,69.3687510771,68.9247531891,0.44399801554,42.0571608824,41.7699118222,0.287249093108,
36,1534690713.94,68.8599684098,68.4137952468,0.44617308238,42.1058395049,41.8240911259,0.281748615644,
37,1534693490.36,70.3358024148,69.8904963101,0.445305668256,42.0021841386,41.7226757723,0.279508485952,
38,1534696275.21,68.0488819795,67.5940628052,0.454819173497,41.9059181774,41.6508160198,0.255102067967,
39,1534699052.04,68.628748501,68.1799744999,0.448774391237,41.9127411001,41.635270287,0.277470714687,
40,1534701834.53,69.9001749824,69.4488104652,0.451364763081,42.1232349732,41.8581094181,0.265125602703,
41,1534704630.72,69.9515219296,69.4984893799,0.453032712288,41.8969570048,41.6113867479,0.285570309443,
42,1534707402.64,69.6397467221,69.1824512482,0.457295489224,41.7759679907,41.502841669,0.273126317298,
43,1534710191.97,68.8095811956,68.3552595026,0.45432173636,41.7954986236,41.4937631383,0.301735615029,
44,1534712979.83,69.2783278297,68.8226814831,0.455646533738,41.7275897755,41.450138653,0.277451129082,
45,1534715761.1,69.2416223638,68.7757056741,0.465916598106,41.7195788552,41.4364863564,0.283092647353,
46,1534718520.09,68.2929634767,67.8459261726,0.447037677555,41.7260206447,41.4525849959,0.273435530855,
47,1534721297.45,69.7098487405,69.262906916,0.446941478726,41.8199072445,41.5452506121,0.274656582185,
48,1534724083.66,69.1113552767,68.6571527369,0.454202607274,41.5673672171,41.3005867565,0.266780634356,
49,1534726857.92,68.6153233472,68.1685886383,0.446734899984,41.6814507316,41.4004220963,0.28102874975,
50,1534729643.47,69.6894202513,69.2235625772,0.465857870877,41.6798173119,41.3881240733,0.2916931453,
51,1534732419.96,69.739194309,69.2939720154,0.445222660461,41.6294862523,41.3676023483,0.261883777731,
52,1534735204.97,68.5903938518,68.1422625149,0.448131410953,41.629830697,41.3667609832,0.263069697601,
53,1534737985.8,68.6782638325,68.2227108899,0.455553569776,41.716121337,41.4278508916,0.288270594004,
54,1534740772.84,68.8178073659,68.3549121408,0.46289523165,41.5221858305,41.2324226604,0.289763055304,
55,1534743553.2,68.7982440275,68.3443093019,0.453934838667,41.5477907517,41.2817524742,0.266038124176,
56,1534746346.22,69.4633732403,68.9931305717,0.470242850044,41.5693562452,41.2924123652,0.276944017366,
57,1534749132.04,69.0593886656,68.6047217425,0.45466697216,41.5774833455,41.299522456,0.277960754712,
58,1534751907.95,69.2075169507,68.7600325977,0.447484438472,41.5655650532,41.2974256628,0.268139370881,
59,1534754686.52,68.1140469944,67.6591306013,0.454916506567,41.6119188421,41.3386781356,0.273240746163,
60,1534757470.7,68.990369348,68.5314681109,0.458900974516,41.6416893566,41.3507951849,0.290894110851,
61,1534760246.28,68.9812116623,68.5247390971,0.45647226274,41.5948500353,41.3095104554,0.285339561236,
62,1534763029.55,69.1486369862,68.6890899434,0.459547219031,41.448800087,41.1706183377,0.278181653032,
63,1534765803.17,69.2485172047,68.7952144847,0.453303162228,41.5870741115,41.3157073189,0.27136696656,
64,1534768571.37,69.0955643373,68.6434411442,0.452122920576,41.5405371049,41.2759440366,0.264593020958,
65,1534771348.11,69.4281966266,68.9802575953,0.44793879679,41.6211901272,41.3750802208,0.246109969476,
66,1534774127.63,68.6488517873,68.1878454545,0.461006721153,41.4765327117,41.1974386327,0.279094316504,
67,1534776908.98,68.8378732345,68.3896573011,0.448216388331,41.5232840706,41.2557504878,0.267533580608,
68,1534779684.68,68.4951451245,68.0386441175,0.456501219641,41.5273768481,41.253165189,0.27421179107,
69,1534782468.07,69.2343169942,68.7703892203,0.463927800603,41.6510070352,41.3823804294,0.268626666902,
70,1534785236.37,68.6154685862,68.1538205427,0.461648111834,41.568630499,41.2935994653,0.27503102207,
71,1534788018.65,68.2389101141,67.7789012685,0.460008347297,41.6554838629,41.3636416267,0.291842071887,
72,1534790802.67,68.8543761758,68.3898423139,0.464533655082,41.3825808693,41.0967112709,0.285869653172,
73,1534793575.24,67.6771030426,67.2144457873,0.462657518685,41.5208126517,41.2504036286,0.270408827154,
74,1534796351.21,68.884967243,68.4338494469,0.451117893352,41.4617738724,41.1946593453,0.267114335342,
75,1534799127.66,68.861408458,68.3968538957,0.464554806404,41.4305576437,41.1375724568,0.292985388023,
76,1534801903.8,69.355522268,68.905663883,0.449858474381,41.4227751564,41.1619727191,0.26080232267,
77,1534804675.34,68.2190289778,67.7578686546,0.461160486235,41.2827905206,40.9927883148,0.290002243045,
78,1534807470.03,69.1925466201,68.7427700267,0.449776946184,41.3631316353,41.0964135563,0.266718250645,
79,1534810242.4,67.8886950998,67.4216153762,0.467079946223,41.3952668134,41.1014942842,0.293772372472,
80,1534813028.45,68.8615307527,68.4030971527,0.458433484768,41.3830823337,41.1140394772,0.269042786649,
81,1534815825.79,69.4297162224,68.9626060935,0.467110315228,41.4320600173,41.1574841668,0.274575979394,
82,1534818606.61,69.0095523385,68.5599057815,0.449645986014,41.4522718542,41.1881634207,0.264108630226,
83,1534821389.92,69.1045854232,68.652677536,0.45190761589,41.4188521329,41.1474477544,0.27140437461,
84,1534824166.56,68.8210292143,68.3666692622,0.454359781216,41.4139959672,41.1498036665,0.264192400391,
85,1534826962.1,69.4442156623,68.9890574287,0.455157672219,41.4346677556,41.1562857347,0.278382051079,
86,1534829754.43,69.0828578051,68.6219659693,0.460891628967,41.3304416432,41.0457208297,0.284720897017,
87,1534832543.42,69.0961238076,68.6258836634,0.470239820288,41.4207837161,41.1400830886,0.280700568986,
