epoch,update_time,train_loss,valid_loss,mcd
1,1530913716.52,,46.7121896744,
2,1530915407.56,,44.7890356849,
3,1530917095.02,,43.9926479003,
4,1530918852.29,,43.4244008345,
5,1530920554.45,,42.9888886283,
6,1530922255.82,,42.7252744787,
7,1530923928.84,,42.2667564504,
8,1530925650.53,,42.0752404157,
9,1530927384.98,,42.080471151,
10.0,1530929463.15,41.6741661745,41.8829165066,6.22982133661
11,1530931306.72,,41.8213353438,
12,1530933074.49,,41.6302068935,
13,1530934831.52,,41.5507178026,
14,1530936578.81,,41.4807246713,
15,1530938305.95,,41.4420534583,
16,1530940039.32,,41.2792870578,
17,1530941781.26,,41.1381153219,
18,1530943501.29,,41.1415079902,
19,1530945264.02,,41.1857703153,
20.0,1530947338.92,40.6384009754,40.9938386468,5.97726375019
21,1530949122.28,,41.0437197966,
22,1530950875.62,,40.9761842279,
23,1530952615.19,,40.9003403608,
24,1530954370.93,,40.9439652387,
25,1530956073.13,,40.7891773897,
26,1530957779.62,,40.8761936076,
27,1530959469.32,,40.7874823739,
28,1530961181.57,,40.7908604005,
29,1530962870.22,,40.7833314783,
30.0,1530964958.42,40.2902788274,40.6983170229,5.92198040458
31,1530966757.48,,40.6309996773,
32,1530968509.47,,40.61717039,
33,1530970252.89,,40.5182333554,
34,1530971998.43,,40.4212014254,
35,1530973728.72,,40.5901990778,
36,1530975481.84,,40.529216542,
37,1530977207.35,,40.5372596629,
38,1530978930.11,,40.4774696126,
39,1530980722.97,,40.5211238861,
40.0,1530982812.79,40.0802180346,40.5629777347,5.86611982481
41,1530984594.78,,40.6178067712,
42,1530986316.98,,40.4574993919,
43,1530988038.81,,40.4554787243,
44,1530989780.67,,40.4188283472,
45,1530991528.31,,40.4565804425,
46,1530993245.74,,40.3555261949,
47,1530994988.89,,40.4237024083,
48,1530996720.15,,40.4059504902,
49,1530998496.63,,40.3664551903,
50.0,1531000580.08,39.7776756287,40.2941675186,5.85244759891
51,1531002398.81,,40.2758278566,
52,1531004116.26,,40.3704097972,
53,1531005841.91,,40.3281514785,
54,1531007575.75,,40.3108475629,
55,1531009294.24,,40.3236443015,
56,1531011030.84,,40.2183886135,
57,1531012776.36,,40.3985927806,
58,1531014529.85,,40.3774912778,
59,1531016287.72,,40.2169753804,
60.0,1531018363.31,39.7862949932,40.3144116682,5.8238463787
61,1531020170.04,,40.2507924473,
62,1531021905.31,,40.2019326266,
63,1531023644.37,,40.2436489778,
64,1531025377.82,,40.2277907203,
65,1531027103.54,,40.2019802542,
66,1531028851.16,,40.1884983848,
67,1531030543.86,,40.1927310158,
68,1531032271.62,,40.2320990282,
69,1531034007.09,,40.1651237712,
70.0,1531036153.4,39.547785759,40.1541017084,5.80777149431
71,1531037988.54,,40.1778933581,
72,1531039725.84,,40.1635513867,
73,1531041467.83,,40.2484567867,
74,1531043211.19,,40.2303299062,
75,1531044954.16,,40.2459133934,
76,1531046690.61,,40.1741600037,
77,1531048416.16,,40.1503311606,
78,1531050120.73,,40.0545703664,
79,1531051865.85,,40.221944248,
80.0,1531053947.38,39.5641110925,40.1719534818,5.8550078153
81,1531055781.94,,40.174726935,
82,1531057511.31,,40.1936321259,
83,1531059249.1,,40.1869314418,
84,1531060976.61,,40.1048371371,
85,1531062704.52,,40.0715138491,
86,1531064448.18,,40.1272158903,
87,1531066187.9,,40.1173548979,
88,1531067940.24,,40.1608718984,
89,1531069703.09,,40.1255256428,
90.0,1531071804.87,39.3642676858,40.0477535023,5.73258887269
