epoch,update_time,train_loss,valid_loss,mcd
1,1534195871.04,51.7151083513,51.8328132629,
2,1534196188.67,47.4379421581,47.5456213518,
3,1534196506.38,45.2805203525,45.5819892883,
4,1534196829.88,44.2432285656,44.3044811596,
5,1534197167.43,43.2105310613,43.404006958,
6,1534197504.84,43.2765988437,43.2692364779,
7,1534197842.49,42.7998903448,42.692676891,
8,1534198174.09,41.8196882768,42.0299689553,
9,1534198501.77,41.5711121993,41.9656115445,
10,1534198823.68,41.2103111961,41.6918064464,
11,1534199141.53,41.197769165,41.3562167775,
12,1534199459.33,40.8772593412,41.2471081127,
13,1534199779.15,40.6043111628,41.0977190191,
14,1534200094.3,40.4319926175,40.8547883467,
15,1534200422.2,40.3662615689,40.6019696322,
16,1534200759.22,40.713276603,41.1181696112,
17,1534201086.53,39.6656612049,40.2522732128,
18,1534201409.75,39.7408343228,40.1726084622,
19,1534201740.19,39.5218391418,40.1755624251,
20,1534202060.49,39.3213698647,40.0349204324,
21,1534202379.54,39.4172047702,39.7230599143,
22,1534202699.55,38.7669483532,39.713811701,
23,1534203018.53,38.7677369551,39.6493492126,
24,1534203353.68,38.9913604043,39.5134908503,
25,1534203684.59,38.8424505754,39.5251998901,
26,1534204015.72,38.5592124245,39.4637763283,
27,1534204334.15,38.8026903326,39.595086878,
28,1534204653.08,38.2793006897,39.2035255432,
29,1534204970.97,38.4909924594,39.186587247,
30,1534205288.08,38.4803092263,39.222752311,
31,1534205605.98,38.4843281833,39.34407633,
32,1534205923.59,38.0711108121,39.1222343445,
33,1534206243.55,38.1840872331,39.0308980075,
34,1534206573.48,37.8524270491,38.8676549738,
35,1534206901.03,37.8931427002,38.9536118941,
36,1534207224.86,37.6512166804,38.8622994856,
37,1534207551.07,37.7494801608,38.8995343989,
38,1534207886.69,38.0813567422,39.12915802,
39,1534208212.75,37.7491659685,38.8939444802,
40,1534208527.98,37.8100575534,38.8086353649,
41,1534208850.78,37.6739255732,38.8371602839,
42,1534209165.53,37.4724457481,38.843928944,
43,1534209481.78,37.4921632247,38.9516331066,
44,1534209795.38,37.5910814459,38.8873325695,
45,1534210112.51,37.2748090571,38.7315555919,
46,1534210426.39,37.119793285,38.5695141879,
47,1534210739.86,37.1229001826,38.5738768144,
48,1534211056.3,37.0515230352,38.5858768116,
49,1534211370.6,37.3068882335,38.8581931374,
50,1534211684.69,37.2404604825,38.762750799,
51,1534212002.44,36.8246244951,38.5449170199,
52,1534212318.41,37.0908827348,38.6992541226,
53,1534212633.87,37.1365956393,38.7407784895,
54,1534212949.11,36.7724578164,38.6046742526,
55,1534213264.16,36.6729250821,38.7840222445,
56,1534213577.5,36.9381204085,38.706585624,
57,1534213892.28,37.1261201338,38.7419308749,
58,1534214208.42,36.6718642495,38.6515218561,
59,1534214526.82,36.9054926092,38.7144328031,
60,1534214843.24,36.8062570745,38.4248036471,
61,1534215161.06,36.6794326089,38.7402083657,
62,1534215476.02,36.711353302,38.5455599698,
63,1534215789.1,36.5762211193,38.6346386996,
64,1534216105.82,36.7515002164,38.6776667508,
65,1534216420.94,36.5613226457,38.658789548,
66,1534216737.41,36.4998550415,38.5246842124,
67,1534217054.84,36.6958191612,38.7021428888,
68,1534217369.54,36.7430007241,38.6545476046,
69,1534217682.07,36.4317887046,38.5349436673,
70,1534217994.23,36.6455861872,38.7564662587,
71,1534218303.53,36.3932519393,38.9140957919,
72,1534218619.08,36.4069286693,38.6637125882,
73,1534218937.65,36.3377723694,38.8812044317,
74,1534219254.68,36.2371267839,38.6357120167,
75,1534219570.98,36.2591472973,38.7017472007,
76,1534219885.68,36.2497673035,38.9632974104,
77,1534220202.94,36.3904512579,38.722142653,
78,1534220522.69,36.3668046431,38.8117651506,
79,1534220854.66,36.1397434581,38.6698636142,
80,1534221193.7,36.1095258539,38.730965701,
81,1534221530.26,36.7512397766,39.0009085915,
82,1534221852.49,36.3491616683,38.6927094893,
83,1534222169.93,36.269865903,38.6687791998,
84,1534222487.53,36.5446024808,38.8182775324,
85,1534222806.5,35.8983258334,38.8115230907,
86,1534223119.94,36.0365458402,38.9247713956,
87,1534223432.96,36.3976866982,39.097975991,
88,1534223745.09,36.1968418468,38.9154663086,
89,1534224063.04,36.1923415444,38.9690943631,
90,1534224378.23,36.0454611345,39.0841685208,
