epoch,update_time,train_loss,valid_loss
1.0,1530553558.52,51.7406457265,51.8423631841
2.0,1530554008.92,47.8272588821,47.8698869185
3.0,1530554466.89,45.1757446471,45.285785675
4.0,1530554916.29,44.0068840753,44.1554152749
5.0,1530555370.14,43.8728406089,44.0718775663
6.0,1530555827.36,42.7890245952,42.9023905667
7.0,1530556276.54,42.4447156513,42.6663943204
8.0,1530556730.46,42.1740274581,42.4342221347
9.0,1530557189.2,41.5483841063,41.8449575251
10.0,1530557637.57,41.4827516041,41.7376875444
11.0,1530558093.9,41.3028606839,41.6710305647
12.0,1530558541.07,40.745618033,41.0866335089
13.0,1530558996.49,40.5902676053,40.9936897971
14.0,1530559453.22,40.4224574982,40.8358608593
15.0,1530559909.08,40.0430728973,40.5069795088
16.0,1530560355.82,39.9843724266,40.4336634549
17.0,1530560812.4,39.9471721044,40.4958742315
18.0,1530561259.39,39.6895246354,40.3115165017
19.0,1530561710.42,39.4346059466,40.1027297974
20.0,1530562159.97,39.0987765903,39.765535528
21.0,1530562612.6,39.4338528164,40.0761500272
22.0,1530563061.65,39.1381561643,39.8469151584
23.0,1530563508.14,38.8391967652,39.4738994945
24.0,1530563968.53,38.7070081196,39.4958107688
25.0,1530564411.93,38.8245919243,39.5569738908
26.0,1530564878.36,38.6313346076,39.4199125117
27.0,1530565332.42,38.6612959968,39.4927860607
28.0,1530565786.75,38.5664647723,39.3938425237
29.0,1530566235.33,38.441751692,39.2626224865
30.0,1530566700.83,38.3752559177,39.2205193259
31.0,1530567161.3,38.2300179194,39.2946201671
32.0,1530567627.01,37.849000295,38.7811723189
33.0,1530568094.36,37.9431868054,38.9371878884
34.0,1530568557.4,37.8915572091,39.0037442988
35.0,1530569016.18,38.2336312249,39.2368594083
36.0,1530569474.24,37.7570561606,38.8947441795
37.0,1530569931.4,37.8184790233,38.9273823825
38.0,1530570401.62,37.6742851621,38.827892997
39.0,1530570859.46,37.6510351272,38.8857754794
40.0,1530571317.85,37.60174391,38.86495937
41.0,1530572054.4,37.5557483491,38.8813102029
42.0,1530572745.79,37.4685652294,38.7287379178
43.0,1530573220.32,37.3021742806,38.6937366832
44.0,1530573681.39,37.3695635114,38.6593783985
45.0,1530574152.0,37.1966555762,38.5194844333
46.0,1530574610.74,37.1190903679,38.6113655784
47.0,1530575084.1,37.1473349617,38.6296709234
48.0,1530575536.67,37.2803603884,38.8064904646
49.0,1530576814.88,37.1769208757,38.7112593217
50.0,1530577275.32,36.9878572736,38.5332984924
51.0,1530578902.5,37.0374512445,38.6849732832
52.0,1530579370.49,36.9917825971,38.6485554088
53.0,1530579825.65,37.0272253733,38.6864884116
54.0,1530581288.79,36.9376615797,38.7129599831
55.0,1530581752.75,37.0227607545,38.7655611905
56.0,1530582209.61,36.8273234594,38.5251059099
57.0,1530583546.55,36.7939933292,38.6057714982
58.0,1530584009.83,37.1388580383,38.8286264593
59.0,1530584484.19,36.7633748736,38.6133148887
60.0,1530584949.68,36.7560899825,38.61931298
61.0,1530585418.76,36.5398058513,38.3615632491
62.0,1530587273.76,36.6769950806,38.6211287759
63.0,1530587749.6,36.5079456208,38.4726170627
64.0,1530588219.45,36.4942406851,38.5585712086
65.0,1530588688.21,36.7199487535,38.6336045699
66.0,1530589143.37,36.6574269855,38.7917879278
67.0,1530589828.56,36.6436819652,38.6049267162
68.0,1530590516.36,36.4714625828,38.5905539773
69.0,1530590974.54,36.6467963627,38.7232378179
70.0,1530591668.3,36.3001701113,38.4027422125
71.0,1530592281.12,36.64869696,39.0242281827
72.0,1530592755.7,36.5538954659,38.8960002552
73.0,1530593208.71,36.4291324918,38.8599277843
74.0,1530593895.06,36.3307141501,38.5951884877
75.0,1530594723.7,36.3576665909,38.8111176924
76.0,1530595341.01,36.3844345032,38.7437608892
77.0,1530595808.87,36.2681623489,38.6241794933
78.0,1530596267.06,36.3024927472,38.8856072859
79.0,1530596720.48,36.323502041,38.8732417714
80.0,1530597274.06,36.2013797457,38.7060890198
81.0,1530597738.04,36.3287005349,38.9794193615
82.0,1530598249.51,36.2451348986,38.7132953297
83.0,1530598710.72,36.1195853703,38.7790725014
84.0,1530600315.37,36.285380863,38.7728604403
85.0,1530600785.96,36.0234966884,38.6809276234
86.0,1530601981.34,36.1963877299,38.8336445202
87.0,1530602440.3,36.1105367872,38.8819694519
88.0,1530603670.05,36.2413415455,39.0328136791
89.0,1530604217.53,36.0007250044,38.793985887
90.0,1530608019.9,31.0286028877,32.5486223047
91.0,1530608484.52,30.7199829192,32.2133778659
92.0,1530608937.69,30.5445874381,32.0046091947
93.0,1530609384.87,30.4515486066,31.878981677
94.0,1530609846.1,30.3916740569,31.8596255563
95.0,1530610304.9,30.3134685395,31.8222018155
96.0,1530610759.6,30.2269169338,31.8067925193
97.0,1530611206.87,30.1910503024,31.6995013844
98.0,1530611653.75,30.1841325003,31.7233092568
