epoch,update_time,train_loss,valid_loss,mcd
170,1533207217.81,29.2119764848,31.1409665888,
171,1533207587.77,29.4393572374,31.1650284854,
172,1533207967.76,29.2890113484,31.2153410478,
173,1533208342.66,29.1021151109,31.2857192646,
174,1533208715.16,29.2165945226,31.184924039,
175,1533209082.42,29.147440997,31.2359773462,
176,1533209448.02,29.1288729581,31.2166836478,
177,1533209820.55,29.2251446464,31.0534565666,
178,1533210179.43,29.1947982095,31.1857584173,
179,1533210543.56,29.3359288302,31.2034423135,
180,1533210902.56,29.1198609092,31.1540156278,
181,1533211271.29,29.0781690424,31.2722896229,
182,1533211636.34,29.2916715795,31.224499269,
183,1533211991.4,28.964418758,31.1357794675,
184,1533212356.28,28.9838563746,31.1573507136,
185,1533212717.42,29.0961815227,31.1436809193,
186,1533213084.91,29.1861074621,31.1532388167,
187,1533213443.47,28.9649131081,31.2280585549,
