epoch,update_time,train_loss,valid_loss,mcd
90,1533162551.18,30.9901504517,32.1783858213,
91,1533162943.93,30.4990125136,31.8130366585,
92,1533163331.88,30.2945941578,31.6907780387,
93,1533163722.75,30.4032487002,31.7062551325,
94,1533164107.27,30.0481305556,31.5410409407,
95,1533164485.25,30.4535395882,31.5954577706,
96,1533164864.84,30.2286775762,31.479021766,
97,1533165243.59,30.0510165475,31.3894308264,
98,1533165630.56,29.9115052657,31.3405744379,
99,1533166018.45,30.0220184326,31.4025497437,
100,1533166400.73,30.1169839339,31.3907930201,
101,1533166790.74,29.87854264,31.2681772059,
102,1533167170.4,29.9341730638,31.3610662981,
103,1533167550.39,30.0425271121,31.3498533422,
104,1533167930.7,29.8320492831,31.3004481576,
105,1533168309.5,29.9041763652,31.334435723,
106,1533168699.42,29.9403083108,31.2423555201,
107,1533169090.35,29.7022301067,31.330922907,
108,1533169472.72,29.6535235318,31.3160594593,
109,1533169858.49,29.7319218029,31.342642524,
110,1533170238.49,29.8426045504,31.3259735107,
111,1533170614.27,29.598657608,31.2307631753,
112,1533170999.92,29.5509763197,31.2362563393,
113,1533171377.48,29.5856222673,31.2657436024,
114,1533171759.22,29.7743535475,31.2973702171,
115,1533172143.32,29.4302486073,31.2843333158,
116,1533172522.09,29.6647182811,31.339339343,
117,1533172903.73,29.5823681571,31.1665375449,
118,1533173281.84,29.7135753632,31.2469893369,
119,1533173659.51,29.8031765331,31.2171029178,
120,1533174042.53,29.6238656477,31.3540599129,
121,1533174426.05,29.8379001617,31.2354172793,
122,1533174803.25,29.4630423459,31.3172931671,
123,1533175190.32,29.4383125305,31.2202110291,
124,1533175565.57,29.4334276373,31.2077884674,
125,1533175946.21,29.1947926608,31.2406425476,
126,1533176325.7,29.6230851954,31.2303191098,
127,1533176706.76,29.5023493333,31.3528249914,
128,1533177080.49,29.7125148773,31.370639801,
129,1533177463.43,29.35616788,31.3314394517,
130,1533177850.41,29.4593953219,31.2516777732,
131,1533191162.33,29.650978782,31.2712809823,
132,1533191564.18,29.557073073,31.3453806097,
133,1533191962.09,29.7079571811,31.3922993053,
134,1533192353.99,29.6905063282,31.2245759097,
135,1533192740.16,29.4892266013,31.2831755551,
136,1533193128.13,29.6178883639,31.3638560555,
137,1533193506.35,29.4861712022,31.3655802987,
138,1533193898.33,29.5123013583,31.2113448056,
139,1533194280.65,29.377812819,31.3130503568,
140,1533194665.22,29.4043641524,31.3403119174,
141,1533195056.63,29.479779677,31.309951262,
142,1533195444.54,29.433646809,31.2781243758,
