epoch,update_time,train_loss,valid_loss,mcd
1,1533112267.07,50.7809576555,51.3188355186,
2,1533112762.0,46.1894271157,46.4834653681,
3,1533113256.42,44.4853106412,44.571791909,
4,1533113750.34,43.344818462,43.426584764,
5,1533114238.07,42.9636070945,43.0524285056,
6,1533114731.33,42.3510121432,42.405603929,
7,1533115217.38,41.7282288291,41.9279611761,
8,1533115708.85,41.7449750033,41.8070304177,
9,1533116195.19,40.8949415034,41.1091984836,
10,1533116689.89,40.8622481606,41.0153423656,
11,1533117178.81,40.4784375971,40.8322417519,
12,1533117683.53,40.3689249212,40.6868317344,
13,1533118176.36,40.0079952587,40.4955995733,
14,1533118663.52,40.3417462436,40.6772287542,
15,1533119161.91,39.6955580278,40.1696045615,
16,1533119649.04,39.4639785073,40.0871464122,
17,1533120152.79,39.4421157837,39.9838433699,
18,1533120648.85,39.097551866,39.6916011464,
19,1533121134.24,39.1046378396,39.9813548001,
20,1533121633.89,39.1133627458,39.6052426425,
21,1533122134.43,39.0761580034,39.623492501,
22,1533122621.55,38.5545824224,39.3455352783,
23,1533123109.07,38.3811510259,39.1486729709,
24,1533123597.83,38.8017827814,39.5841605447,
25,1533124086.57,38.4405274825,39.265096491,
26,1533124575.83,37.9746853222,38.9310323542,
27,1533125070.28,38.2757367221,39.1183384982,
28,1533125560.14,37.7800202803,38.5260054848,
29,1533126062.11,37.8384447965,38.9188544533,
30,1533126553.01,38.2245233709,38.8863532326,
31,1533127039.78,37.6476672779,38.8507430337,
32,1533127542.79,37.8420215953,38.9473093206,
33,1533128047.51,37.3983185508,38.5321700356,
34,1533128554.47,37.3450913863,38.540346319,
35,1533129061.68,37.1920377558,38.4154763655,
36,1533129567.95,37.0517831282,38.3020127036,
37,1533130075.88,37.5005787936,38.6300270774,
38,1533130585.84,37.1402064237,38.6050061313,
39,1533131086.92,37.0756804726,38.3005783775,
40,1533131593.17,37.2698735324,38.493887121,
41,1533132099.78,37.1785989241,38.4403263439,
42,1533132625.11,37.0518885526,38.5543920344,
43,1533133123.99,37.2120312777,38.7174623663,
44,1533133630.83,37.2242407365,38.447598544,
45,1533134133.11,37.1231561141,38.4612652172,
46,1533134643.59,36.6494424993,38.1800512834,
47,1533135154.07,36.9618561485,38.3416623202,
48,1533135661.66,36.9114685059,38.279283697,
49,1533136165.11,36.4832482771,38.0966973738,
50,1533136669.37,36.4394063083,37.9890930869,
51,1533137174.76,36.453794306,38.1703435724,
52,1533137681.16,37.0118477561,38.3594845858,
53,1533138186.67,36.643111489,38.2820344405,
54,1533138699.02,36.4721041593,38.0313113819,
55,1533139203.51,36.8032535206,38.3777826483,
56,1533139723.08,36.6762910323,38.3702885021,
57,1533140238.08,36.846534729,38.4522125938,
58,1533140753.0,36.2523366755,37.88807054,
59,1533141261.71,36.1326196844,37.9660932367,
60,1533141763.78,36.4617115368,38.2082838579,
61,1533142279.65,36.0407995744,38.3579150113,
62,1533142785.37,36.0727781816,38.1599381187,
63,1533143287.38,36.2888811285,38.1946820346,
64,1533143795.61,36.1507970637,38.1480459733,
65,1533144303.15,36.147218184,38.2360617898,
66,1533144811.93,36.4936856357,38.4685509422,
67,1533145317.42,36.3227452365,38.5206940391,
68,1533145837.08,36.0725711476,38.2599414479,
69,1533146350.02,35.8245128285,38.0335821672,
70,1533146856.26,36.0894366178,38.0379430597,
71,1533147366.19,36.0132602345,38.2353120284,
72,1533147870.75,36.059753418,37.8979734941,
73,1533148372.47,35.9031053023,37.9492475336,
74,1533148879.61,36.0019541654,38.3195141879,
75,1533149386.85,36.2934729836,38.3002215299,
76,1533149887.94,35.8653869629,38.3362946944,
77,1533150391.61,36.1305510781,38.2041830583,
78,1533150897.04,35.9420103593,38.1255853826,
79,1533151402.1,35.8164163069,38.0433741483,
80,1533151907.13,36.1749735746,38.3258913214,
81,1533152412.63,36.212257732,38.4289689498,
82,1533152916.17,35.8856312145,38.2558950944,
83,1533153427.14,35.8741638877,38.055252422,
84,1533153935.91,35.6987876892,38.0374284224,
85,1533154439.55,35.8308171359,38.349051042,
86,1533154944.39,35.5384604714,38.1025317799,
87,1533155438.5,35.2353186174,38.1410016147,
88,1533155926.14,35.4015308727,38.0096061013,
89,1533156422.55,35.8298690102,38.535795732,
90,1533156912.92,35.4609319513,38.2397682884,
