epoch,update_time,train_loss,valid_loss,mcd
1,1533062897.23,51.3489199552,51.0786940835,
2,1533063264.89,47.0568199158,47.1638346585,
3,1533063627.64,44.8503116261,45.2758313959,
4,1533063990.18,44.0659637451,44.5159124895,
5,1533064350.53,44.6499321677,44.945065585,
6,1533064706.75,44.3395094438,44.1725418784,
7,1533065059.78,43.2760918357,43.719589927,
8,1533065409.5,43.3966210105,43.3779747703,
9,1533065757.46,43.3450799422,43.5710400668,
10,1533066115.39,42.6532918757,42.9716945995,
11,1533066463.54,43.1022394354,43.816368103,
12,1533066810.17,43.1152902083,43.3011422591,
13,1533067163.72,42.378548362,42.6488484469,
14,1533067519.74,42.3429776972,42.6656903354,
15,1533067873.12,42.4021547491,42.7377433777,
16,1533068226.95,42.9840022,43.2017576044,
17,1533068572.15,42.5921107205,42.8792471452,
18,1533068924.25,42.4654277455,42.9546279907,
19,1533069278.08,42.2795892195,42.6583047347,
20,1533069634.77,42.6484087164,42.8971509066,
21,1533069988.96,42.5612040433,42.9928581931,
22,1533070342.75,42.3638198159,42.6032264016,
23,1533070695.69,42.7644961964,43.6160971902,
24,1533071051.6,43.318529996,43.4212497364,
25,1533071398.82,42.3410401778,42.9972839355,
26,1533071752.82,43.4006885182,43.4781799316,
27,1533072101.81,42.5063889243,43.1001822732,
28,1533072459.3,42.728895014,43.3810563521,
29,1533072807.52,42.3153256503,42.8523719094,
