epoch,update_time,train_loss,train_loss_mse,train_loss_kld,valid_loss,valid_loss_mse,valid_loss_kld,mcd
1,1534357629.17,54.4309518987,54.4309518987,3.22486240214,54.5471586748,54.5471586748,3.21838476441,
2,1534358120.29,50.2212777571,50.1690264615,3.03057651086,50.0022745999,49.9476800398,3.16648270867,
3,1534358612.29,46.892674186,46.7892990112,2.99788852171,47.2009877292,47.0951201699,3.07016476718,
4,1534359096.16,45.6806970076,45.5029425188,3.43658492782,45.4682627591,45.2858422019,3.52679885517,
5,1534359582.54,44.1925735474,43.9648406289,3.30213568427,44.4504952864,44.2235353643,3.29092051766,
6,1534360064.89,43.6274597862,43.3328673623,3.41727100719,43.8375216397,43.5435298573,3.41029797901,
7,1534360552.5,43.2515064586,42.9187497226,3.21664899046,43.4727852561,43.1360477101,3.2551251975,
8,1534361049.93,42.9935871471,42.6181165522,3.11104486205,43.3852181868,43.0040123679,3.15856114301,
9,1534361540.01,43.0677081021,42.6611640237,2.94744515419,43.1525566795,42.7453117371,2.95252739299,
10,1534362022.51,42.3863123113,41.9367658442,2.89707567475,42.5890107588,42.1365023526,2.91616585038,
11,1534362507.36,41.9723188227,41.4362057773,3.10945731943,42.4319149364,41.8932404952,3.12431014668,
12,1534362988.35,41.7988319397,41.2621546659,2.82975539294,42.090809562,41.5455859791,2.874814467,
13,1534363477.91,41.6273453452,41.0534078425,2.77402953668,42.0296516418,41.444909876,2.82625035806,
14,1534363974.3,41.6490974426,41.0250989741,2.78399378603,41.8383265409,41.2061587247,2.82044256817,
15,1534364461.97,41.5633267489,40.8976728266,2.75771052187,41.797307448,41.125303095,2.78402042389,
16,1534364948.6,41.1412960399,40.4997180592,2.48076677322,41.6237484325,40.9776427529,2.498277144,
17,1534365434.56,41.0077837164,40.3589009372,2.35220100663,41.5932107405,40.9438185258,2.35404606299,
18,1534365933.43,41.0938803933,40.4104558771,2.33168198846,41.6557766307,40.9702110291,2.33899016814,
19,1534366436.64,40.8080863953,40.1199160489,2.21743835102,41.4401907487,40.7508201599,2.22130554373,
20,1534366930.04,40.7487085516,40.0324235396,2.1865531748,41.2997502414,40.5803035389,2.19620745832,
21,1534367422.13,40.8001899719,40.0709908225,2.11467840455,41.1461590854,40.4133189808,2.12523664128,
22,1534367900.13,40.6816624728,39.9676309065,1.97208681974,41.1387738315,40.4256449613,1.96959336237,
23,1534368387.04,40.6804643111,39.9389988292,1.95477260243,41.0321357033,40.2836352262,1.97331859849,
24,1534368886.66,40.2090832103,39.508274772,1.76725880666,40.9179975336,40.2140201222,1.77524718371,
25,1534369384.89,40.1227285212,39.3654292714,1.83013958281,40.9600282149,40.2043290572,1.82627283443,
26,1534369867.02,39.8152479692,39.0593951832,1.75357924808,40.614772103,39.8626570268,1.74490707571,
27,1534370354.94,40.0645852522,39.3320277821,1.6341672052,40.9527133595,40.22310361,1.62759013609,
28,1534370830.07,39.6912286932,38.9574186152,1.57633384791,40.6201872392,39.8842104132,1.58098811453,
29,1534371313.01,39.7082914873,38.9747525995,1.51947307587,40.4715038646,39.7321506847,1.5315172889,
30,1534371793.87,39.7507639798,38.9612381675,1.57905179804,40.6117657748,39.8265294162,1.57047283649,
31,1534372292.16,39.545316176,38.8218959462,1.44684069807,40.2709035006,39.5390482816,1.46371163021,
32,1534372792.62,39.475353241,38.7829638394,1.38478000598,40.2468313737,39.5557403564,1.38218196956,
33,1534373284.72,40.0403511741,39.3626358726,1.35542885824,40.3030981584,39.6162872314,1.37362277508,
34,1534373788.99,39.6005214344,38.9411010742,1.31883984262,40.3612424677,39.6957987005,1.33088841222,
35,1534374279.75,39.3188157515,38.5958733992,1.44588536566,40.121211312,39.4000088085,1.44240403175,
36,1534374761.21,39.446531816,38.7289810181,1.43510271202,40.0583579324,39.3276481628,1.46141989665,
37,1534375239.43,38.6114300815,37.976125197,1.27060938965,39.7607068149,39.1228946339,1.27562454614,
38,1534375723.47,39.4141120911,38.8117505854,1.20472345569,39.966308247,39.3484819586,1.23565296693,
39,1534376207.64,38.8693760959,38.2194089023,1.2999340079,39.8723550276,39.2216096358,1.30149001425,
40,1534376691.57,39.0492910905,38.3941320939,1.31031803651,39.8091538169,39.1355778087,1.34715028243,
41,1534377184.23,38.8873828541,38.2706239874,1.23351810195,39.631949338,38.9967998158,1.27029925043,
42,1534377685.59,39.0762044733,38.4395769293,1.27325557579,40.0841584639,39.4364173196,1.29548278722,
43,1534378172.57,38.7287184975,38.1092355902,1.23896546797,39.932919589,39.3055354032,1.25476914102,
44,1534378656.52,38.6162324385,37.9827024286,1.2670606158,39.9243066961,39.2875192816,1.27357532761,
45,1534379147.19,38.410504081,37.8165165294,1.18797538497,39.600671248,39.0105167736,1.18031004342,
46,1534379647.27,38.8477360119,38.2548172691,1.18583751809,39.7598259666,39.1574554443,1.2047419548,
47,1534380131.84,38.4685318687,37.8436626088,1.24973842231,39.6595916748,39.0381001559,1.24298302694,
48,1534380613.31,38.3330806385,37.7481207414,1.16992022774,39.4570322904,38.8673480641,1.17936846343,
49,1534381092.05,38.2574157715,37.6645917025,1.18564872308,39.5042256442,38.8972747109,1.21390278773,
50,1534381576.51,38.4091758728,37.8305875605,1.15717690641,39.4733102972,38.8856062456,1.17540810325,
51,1534382057.27,38.6938996748,38.0869206515,1.21395745061,39.8297632391,39.2250657515,1.20939488844,
52,1534382540.24,38.479323994,37.8822725469,1.19410328432,39.7109860507,39.1098452481,1.20228075981,
53,1534383025.25,38.0666857633,37.4842158231,1.16494067149,39.3648823825,38.7740932811,1.18157815933,
54,1534383514.5,38.6706990329,38.1127933155,1.11581101201,39.4926851446,38.9308041659,1.12376254255,
55,1534383997.24,38.0536904769,37.4704156355,1.16654884815,39.1530539773,38.57038706,1.16533356363,
56,1534384479.9,38.017170646,37.4396390048,1.15506263213,39.4207784479,38.8483130715,1.14493075284,
57,1534384956.44,38.1172367443,37.5691559531,1.09616235169,39.0939507918,38.5388017134,1.11029705134,
58,1534385434.28,38.042597684,37.5026532953,1.07988824628,39.1021631414,38.557710821,1.08890463005,
59,1534385920.13,38.1770577864,37.5844473405,1.18522077257,39.4033636613,38.806052468,1.19462197477,
60,1534386402.47,38.1164034063,37.5582486933,1.11630854823,39.1681778648,38.5991963473,1.1379627748,
61,1534386881.64,38.3501812328,37.7637509433,1.17286029729,39.3289770647,38.7264411233,1.20507150347,
62,1534387363.12,37.6767706438,37.0983269431,1.15688798644,39.3911039179,38.8102680553,1.16167074984,
63,1534387844.93,38.1087965532,37.5611225475,1.09534697099,39.2813817805,38.7287358371,1.10529196262,
64,1534388325.47,37.505801461,36.9661407471,1.07932180708,39.213188865,38.6718056419,1.08276620778,
65,1534388814.15,37.5255029852,36.9602449591,1.13051707094,39.1286152926,38.5557081049,1.14581429958,
66,1534389294.72,37.6439684088,37.0958040411,1.09632960233,39.293599909,38.7284036116,1.13039347258,
67,1534389779.88,37.6810340881,37.1496620178,1.06274433569,39.3454589844,38.7968108437,1.09729700739,
68,1534390252.38,37.8940894387,37.3740033236,1.04017253356,38.9324354692,38.401742415,1.06138527393,
69,1534390741.0,37.5194754167,36.9615710865,1.11580824852,39.021737879,38.4633192583,1.1168370572,
70,1534391233.33,37.7588580738,37.2194345648,1.07884570685,39.0007195906,38.4511531483,1.09913273291,
71,1534391714.52,37.5047434027,36.9738124501,1.06186218153,39.0815211209,38.5455131531,1.0720164234,
72,1534392201.44,37.0829283974,36.5133673928,1.13912157579,39.1243185564,38.5537837635,1.14107055014,
73,1534392683.63,37.3794510581,36.797461423,1.16397871754,39.1155842868,38.5274470936,1.17627349767,
74,1534393166.09,37.3427436135,36.8201921636,1.04510359872,38.9737534956,38.4324361628,1.08263434063,
75,1534393653.52,37.5447973772,36.9869124673,1.11576944048,39.4495058927,38.9029107527,1.09319012815,
76,1534394133.0,37.3466380726,36.822235801,1.04880512303,38.9975242615,38.4688252536,1.05739761483,
77,1534394614.22,37.575414831,37.060399489,1.03003055941,39.1119800914,38.5795530839,1.06485413421,
78,1534395096.97,37.4116117304,36.8994931308,1.02423740517,39.210879586,38.7009908503,1.01977746595,
79,1534395585.38,37.4140066667,36.8866611828,1.05468934233,39.0440094688,38.510173104,1.06767277284,
80,1534396059.49,37.1836093556,36.6698202653,1.02757683667,38.8736124906,38.3573643078,1.03249808875,
81,1534396549.37,37.0365139354,36.5569558577,0.959115478125,38.9254576943,38.4302981984,0.990319479596,
82,1534397039.51,37.0523230813,36.5545782609,0.995490014553,39.024241014,38.5193179737,1.00984489918,
83,1534397520.81,37.0265939886,36.51996023,1.01326741955,38.923887773,38.4233904752,1.00099570643,
84,1534398001.69,37.0764884949,36.5847951716,0.983385568315,39.0012619712,38.5010129755,1.00049871206,
85,1534398484.52,37.0491333008,36.5303729664,1.03752055493,38.8584806269,38.3270575783,1.06284668229,
86,1534398971.06,37.1087882302,36.6023750305,1.01282687079,38.7761279019,38.2677001953,1.01685465466,
87,1534399452.43,36.9424785267,36.4754191312,0.93411762606,39.0765283758,38.5934718739,0.966113193469,
88,1534399935.57,37.1655918468,36.6694606434,0.992262780666,38.8965478377,38.3949952559,1.00310514732,
89,1534400409.78,36.9004877264,36.4061848034,0.988605602221,38.6476110979,38.1474200162,1.00038152933,
90,1534400891.02,36.7846669284,36.2801298662,1.00907261263,38.9321580367,38.4221194874,1.02007862113,
