epoch,update_time,train_loss,train_loss_mse,train_loss_kld,valid_loss,valid_loss_mse,valid_loss_kld,mcd
1,1533738174.54,53.9591924494,53.9591924494,39622.699929,54.5407527577,54.5407527577,39721.5113636,
2,1533738684.12,55.4026877663,54.499746496,2618.53025124,55.1632832614,54.2021855441,2787.18331632,
3,1533739189.09,54.3884024187,53.0221630443,1981.04705256,54.6658550609,53.2326046337,2078.21276855,
4,1533739701.49,53.3290589072,52.5348763899,767.709433816,53.7257412997,52.8633946505,833.602020264,
5,1533740211.8,52.4532436024,51.6445999146,586.266607111,52.5189063332,51.5422373685,708.085224498,
6,1533740725.76,51.7440837513,50.5259097706,706.541118275,51.5491260182,50.2618172385,746.639090798,
7,1533741230.44,50.8005086725,49.8092620156,479.102500222,51.3077572909,50.3405300487,467.493300004,
8,1533741728.39,49.8905396895,48.9933489019,371.693481445,50.4503291737,49.3654181741,449.463267933,
9,1533742237.39,49.138189836,48.1701434742,350.916745273,49.4777606617,48.508072593,351.511947632,
10,1533742757.28,48.6663911993,47.7710283453,288.505790017,48.9583181901,48.0982014049,277.148577603,
11,1533743267.19,48.2658923756,47.7282610807,155.913122697,48.3833791559,47.8247965032,161.988983848,
12,1533743782.07,47.7225456238,47.3747849898,91.682369579,47.8823939237,47.504780856,99.5525481484,
13,1533744293.99,47.5269005515,47.0969120372,103.913774317,47.9517919367,47.4261113947,127.039433566,
14,1533744803.53,46.8500439037,46.3853905418,103.65342435,47.0458238775,46.5434428128,112.069657066,
15,1533745312.87,46.4756095193,46.1672044234,63.8838878978,46.891559254,46.5264698375,75.6257074529,
16,1533745828.25,46.4660651467,46.2029810819,50.8629448631,46.6298561096,46.2879482616,66.1021756259,
17,1533746341.33,46.9595423612,46.610264518,63.3066225919,47.3024857261,46.9133768949,70.5259319652,
18,1533746848.11,45.9259692105,45.739276886,31.8475553339,46.0874314742,45.8788812811,35.5762764324,
19,1533747352.14,45.7435590571,45.5644482699,28.8568092693,45.9594393643,45.7413777438,35.1322118586,
20,1533747875.52,45.6799597307,45.545567946,20.5124573274,45.8004001271,45.6651191711,20.6481939663,
21,1533748384.5,45.0771252025,45.005471663,10.3897810849,45.3755198392,45.2935204939,11.8898748485,
22,1533748896.36,45.2607702775,45.2062638023,7.52709293365,45.2426143993,45.1799253984,8.65707696568,
