epoch,update_time,train_loss,train_loss_mse,train_loss_kld,valid_loss,valid_loss_mse,valid_loss_kld,mcd
1,1533731611.86,54.6668115096,54.6668115096,38609.9676847,54.9202613831,54.9202613831,39103.5763494,
2,1533732109.93,58.9591619318,58.1611328125,111.724072543,59.0902904164,58.2770278237,113.856767828,
3,1533732606.87,57.864179091,57.3397549716,36.7097119418,58.0646709095,57.4674696489,41.8041092266,
4,1533733110.32,57.3922008168,56.9560349204,20.3543845957,57.9803359292,57.4968934493,22.5606729334,
5,1533733610.85,56.2154093656,56.072934931,4.98661754348,56.8228263855,56.631808541,6.68563539332,
6,1533734106.46,55.8452946056,55.7431311174,2.8605761528,56.0130944686,55.8862519698,3.55159848387,
7,1533734608.51,54.3537916704,54.308838931,1.04889838262,54.8973933133,54.8457239324,1.2056317492,
8,1533735113.16,53.8178818443,53.7991551486,0.374541158026,53.8231808056,53.8018191944,0.427235313437,
9,1533735607.54,51.7781146656,51.7739320235,0.0731874379245,52.1785205494,52.1729694713,0.0971345332536,
10,1533736103.32,51.0933536183,51.0916623202,0.0263058028438,51.5429566123,51.541186246,0.0275467959317,
11,1533736606.47,49.8401929682,49.8391737504,0.0142715166916,50.2695562189,50.2684631348,0.0153024521741,
12,1533737117.67,49.4618994973,49.4605671276,0.0169565704736,49.7697774714,49.7683608315,0.0180282538587,
