epoch,update_time,train_loss,valid_loss,mcd
1,1533252607.72,46.2919606041,46.2606817694,
2,1533255414.65,44.6517966214,44.6649642832,
3,1533258206.26,43.7560464074,43.7923068439,
4,1533260976.16,43.3867336161,43.3364122615,
5,1533263786.89,42.8913184334,42.8741141488,
6,1533266581.33,42.4970703125,42.4575540879,
7,1533269395.54,42.1649642832,42.2497780183,
8,1533272167.83,42.1044775458,42.1322250927,
9,1533274926.62,41.7861415639,41.7981791777,
10,1533277718.74,41.645203927,41.7682053622,
11,1533280486.34,41.589411455,41.6089386099,
12,1533283274.85,41.5015887092,41.5712532717,
