epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
1,1531797051.73,71.8638746598,71.6333767386,,0.912584053794
2,1531797207.24,67.6251446219,67.5943963668,,0.931796349664
3,1531797365.26,66.512951346,66.4271403481,,0.946445725264
4,1531797518.7,68.4303802041,68.4497510125,,0.932036503362
5,1531797674.06,68.4460802078,68.0260114109,,0.970461095101
6,1531797825.1,67.1918650234,67.3989657234,,0.972622478386
7,1531797975.9,67.9495427749,67.7423830593,,0.97934678194
8,1531798126.52,68.1984109318,68.2765308829,,0.979106628242
9,1531798281.35,70.0121613671,70.0450547162,,0.967098943324
10.0,1531798965.34,67.2205468907,67.4235589084,10.724735063,0.982228626321
11,1531799116.53,67.2624875798,67.5600132101,,0.972862632085
12,1531799271.4,68.076698752,68.0553984362,,0.981508165226
13,1531799431.27,67.8570917915,67.5611103843,,0.978866474544
14,1531799584.72,66.9229340834,66.9022855759,,0.981027857829
15,1531799742.58,67.1302264157,67.2143868839,,0.981748318924
16,1531799892.45,66.7506759868,67.2907569549,,0.981508165226
17,1531800042.26,67.0355427125,67.2250202964,,0.978866474544
18,1531800192.9,66.6277005252,67.1806379767,,0.984390009606
19,1531800344.48,66.9378888186,67.3494524675,,0.985830931796
20.0,1531800736.38,66.9978806552,67.2803248237,10.5834972755,0.982949087416
21,1531800886.58,67.1176490223,67.5765043707,,0.981508165226
22,1531801036.4,65.8884106243,66.2896775638,,0.984870317003
23,1531801191.2,67.025997218,67.0747734519,,0.976945244957
24,1531801341.61,66.8977620742,67.1809981851,,0.978626320845
25,1531801493.32,66.9063894047,67.1329689026,,0.983429394813
26,1531801642.24,66.8958330154,66.9184333577,,0.97646493756
27,1531801792.11,68.2224015629,68.4242312487,,0.969500480307
28,1531801944.16,67.1610003079,67.6906039855,,0.982228626321
29,1531802095.32,67.2484754675,67.6769852919,,0.983189241114
30.0,1531802622.33,66.2243725272,67.0369235207,10.4604598018,0.980547550432
31,1531802774.16,66.9289024016,67.0808756772,,0.981748318924
32,1531802924.0,65.1538432626,65.6188346638,,0.983429394813
33,1531803075.77,66.5259592393,67.1710817113,,0.985110470701
