epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
1,1531764571.84,46.7658868116,46.710810493,,0.986071085495
2,1531764722.61,44.7906406066,44.7807320987,,0.992315081652
3,1531764882.53,44.1181139105,43.9839351317,,0.995677233429
4,1531765042.21,43.324418124,43.4098302056,,0.989433237272
5,1531765195.84,43.0415488972,43.0000349494,,0.994956772334
6,1531765346.58,42.6646186604,42.7320581324,,0.993515850144
7,1531765498.84,42.1885627859,42.2937917709,,0.993515850144
8,1531765652.07,41.931576841,42.0685544294,,0.995196926033
9,1531765801.55,42.0556078518,42.0613660812,,0.994476464938
10.0,1531766563.57,41.804334921,41.8855757994,6.24534716849,0.995917387128
11,1531766713.25,41.6527432834,41.8391149184,,0.990874159462
12,1531766864.72,41.3926743339,41.6625504774,,0.997358309318
13,1531767016.29,41.3120476779,41.4932054071,,0.993756003842
14,1531767170.51,41.3023023044,41.489597601,,0.996878001921
15,1531767324.4,41.2252894009,41.4226980209,,0.994476464938
16,1531767478.85,41.1028910805,41.2757942536,,0.995917387128
17,1531767633.39,40.9275113835,41.1511101442,,0.995437079731
18,1531767786.79,40.892768355,41.1498682359,,0.996637848223
19,1531767941.19,41.0199352713,41.174380639,,0.998078770413
20.0,1531768760.82,40.6475409339,40.9818590389,5.97188173673,0.995437079731
21,1531768910.39,40.7478091857,41.0396341436,,0.995917387128
22,1531769059.24,40.7603510127,40.9828623603,,0.994476464938
23,1531769213.81,40.6028014351,40.9003723369,,0.995196926033
24,1531769369.08,40.6012931712,40.9384071687,,0.994956772334
25,1531769522.49,40.4724669176,40.7841361551,,0.996157540826
26,1531769672.59,40.7040413127,40.8590766682,,0.993035542747
27,1531769824.58,40.4285492056,40.74385413,,0.992555235351
28,1531769974.14,40.4466046165,40.8062520308,,0.997358309318
29,1531770130.28,40.4278674406,40.7490950753,,0.996157540826
30.0,1531770905.29,40.2890931859,40.7115144169,5.92983485199,0.996157540826
31,1531771059.24,40.2204377791,40.6588848338,,0.992795389049
32,1531771208.37,40.2986226362,40.6355674407,,0.993996157541
33,1531771359.0,40.2315461776,40.516786407,,0.997598463016
34,1531771515.42,40.0700669569,40.4359806846,,0.995196926033
35,1531771669.82,40.2016180824,40.5915281071,,0.995677233429
36,1531771825.28,40.2238625358,40.5230387519,,0.993035542747
37,1531771975.64,40.2579877517,40.5821084976,,0.995437079731
38,1531772125.63,40.0331122454,40.4643042508,,0.995196926033
39,1531772276.35,40.0735441096,40.5176241258,,0.99711815562
40.0,1531772653.79,40.3017975863,40.5353791293,5.87394596625,0.988472622478
41,1531772811.85,40.3563874189,40.6297736448,,0.992555235351
42,1531772964.13,39.9520205329,40.4533571916,,0.990874159462
43,1531773119.84,39.9855788175,40.4668699713,,0.995917387128
44,1531773269.84,39.9454214994,40.4016573289,,0.996157540826
45,1531773426.95,39.9210001441,40.4590711033,,0.991834774256
46,1531773578.02,39.8371546689,40.3500994514,,0.996157540826
47,1531773729.94,39.9643391441,40.4161810033,,0.996637848223
