epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
1,1534157566.62,42.187303487,42.1182792327,,0.987992315082
2,1534157711.5,39.827688722,39.7782536675,,0.987512007685
3,1534157856.8,39.1894589592,39.2543553184,,0.987271853987
4,1534158001.5,38.8661777833,38.9767233344,,0.984149855908
5,1534158146.66,38.4464950562,38.5471496582,,0.990874159462
6,1534158292.21,38.2721016828,38.4681029039,,0.98967339097
7,1534158438.35,37.9213648964,38.0011364432,,0.989433237272
8,1534158584.6,38.1940525279,38.3087733213,,0.992555235351
9,1534158732.37,37.7933107264,38.032053667,,0.990874159462
10.0,1534159066.22,37.3547229767,37.6380044152,5.64360319156,0.994716618636
11,1534159214.29,37.5162856719,37.7529234045,,0.988472622478
12,1534159361.76,37.4979129679,37.7310021905,,0.993035542747
13,1534159511.03,37.2071044585,37.5596593408,,0.992555235351
14,1534159656.95,37.0339837916,37.3443981058,,0.995196926033
15,1534159809.65,37.0899606593,37.3724359064,,0.992555235351
16,1534159954.77,37.1518985524,37.458178408,,0.992795389049
17,1534160101.1,36.8000011444,37.1483581206,,0.990634005764
18,1534160247.82,36.6029603061,37.0320648306,,0.991834774256
19,1534160393.51,36.6815498015,36.9337624943,,0.993756003842
20.0,1534160722.28,36.522813236,36.8207268434,5.46854369158,0.98967339097
21,1534160866.92,36.5023754905,36.8121670555,,0.992074927954
22,1534161014.17,36.7203894783,37.048380403,,0.990153698367
23,1534161160.26,36.6390192929,37.0414083144,,0.990153698367
24,1534161305.58,36.6141819673,36.9506424736,,0.989433237272
25,1534161453.34,36.3567847084,36.7508072573,,0.992315081652
26,1534161599.71,36.445014056,36.8506065256,,0.987992315082
27,1534161745.67,36.3598058925,36.737507203,,0.987031700288
28,1534161894.21,36.2917661667,36.7124252319,,0.996637848223
29,1534162041.54,36.5285679312,36.8550201304,,0.992555235351
30.0,1534162372.8,36.3040765875,36.7295158611,5.41443522259,0.991834774256
31,1534162520.42,36.3473029978,36.8061416289,,0.990634005764
32,1534162668.92,36.4041363211,36.8208149742,,0.991834774256
33,1534162816.32,36.2285563525,36.6764985253,,0.994956772334
34,1534162962.41,36.1391885421,36.6156907923,,0.992555235351
35,1534163108.85,36.2284761878,36.6750866946,,0.992074927954
36,1534163255.75,36.0690520791,36.4921421163,,0.989193083573
37,1534163402.67,36.1705743565,36.6494816051,,0.991354466859
38,1534163548.78,36.2285700405,36.7324592927,,0.990393852065
39,1534163694.53,36.2775067161,36.7792851504,,0.993035542747
40.0,1534164022.79,36.3948635214,36.8639893251,5.45730921264,0.987992315082
41,1534164169.27,36.3078628989,36.7499012667,,0.98967339097
42,1534164315.97,36.1475435706,36.6590966056,,0.98967339097
43,1534164462.04,36.1796611337,36.6461799285,,0.990874159462
44,1534164606.67,36.1622337454,36.7265756831,,0.992074927954
45,1534164753.33,36.3507057639,36.8348554162,,0.988472622478
46,1534164899.22,36.1781049055,36.7213809069,,0.993035542747
47,1534165046.32,36.0093979555,36.6374256471,,0.993756003842
48,1534165193.69,36.0002610824,36.6501586016,,0.986311239193
49,1534165340.33,36.2700370901,36.779824313,,0.99111431316
50.0,1534165670.2,36.1811890322,36.6871034398,5.43806115,0.988952929875
51,1534165816.17,36.1022591871,36.6584118675,,0.99111431316
52,1534165963.01,36.0288405138,36.7015042585,,0.988472622478
53,1534166107.71,36.08620178,36.7243088554,,0.990874159462
54,1534166254.11,35.9219050688,36.5574419358,,0.989193083573
55,1534166401.45,36.1880383772,36.8181302688,,0.988712776177
56,1534166546.07,36.0764166327,36.6524324417,,0.991834774256
57,1534166693.1,35.996680428,36.6396391812,,0.988472622478
58,1534166839.48,36.1495080836,36.7874445074,,0.990874159462
59,1534166985.45,35.8601009145,36.4596972185,,0.988472622478
60.0,1534167315.91,36.2927506952,36.8322281557,5.43834233005,0.994236311239
61,1534167462.32,36.0109158123,36.6376520606,,0.990634005764
62,1534167609.43,36.0875470218,36.7055055394,,0.993515850144
63,1534167757.86,35.9355508019,36.5829314064,,0.990874159462
64,1534167906.05,35.8938474655,36.678422423,,0.990393852065
65,1534168052.23,36.2242911844,36.8951494554,,0.991354466859
66,1534168200.49,36.0720820146,36.72805371,,0.992315081652
67,1534168346.23,35.9913602156,36.6366815567,,0.989913544669
68,1534168492.85,36.0535538617,36.6846049814,,0.989913544669
69,1534168639.23,36.0303459728,36.6947606592,,0.990634005764
70.0,1534168970.83,35.9635862463,36.7097519145,5.41940684641,0.993515850144
71,1534169116.67,35.9107452841,36.6005499223,,0.988712776177
72,1534169263.31,35.9101736405,36.6233655144,,0.992795389049
73,1534169410.57,36.2519562665,36.9291527692,,0.98823246878
74,1534169556.63,35.9466250925,36.6991745444,,0.992315081652
75,1534169702.17,36.3340449053,37.0249524958,,0.992555235351
76,1534169849.24,35.980796253,36.7310118395,,0.992074927954
77,1534169995.92,36.0273549697,36.6571139167,,0.990393852065
78,1534170143.16,36.1030066995,36.7842808331,,0.990634005764
79,1534170289.55,35.9527159298,36.659079159,,0.988472622478
80.0,1534170619.1,35.9015093411,36.6557184668,5.43910492617,0.990874159462
81,1534170766.5,35.957510275,36.6857926425,,0.989193083573
82,1534170912.67,35.8931825862,36.5911119685,,0.990634005764
83,1534171058.46,36.0465683657,36.7723293865,,0.993275696446
84,1534171205.03,36.0499822953,36.8230582406,,0.989193083573
85,1534171351.94,35.9828045789,36.6611259685,,0.99111431316
86,1534171498.77,36.0078796499,36.79044774,,0.988712776177
87,1534171644.96,36.0549297333,36.8678395327,,0.98823246878
88,1534171791.29,36.0933867062,36.8070456,,0.992074927954
89,1534171936.57,36.0652103985,36.784680086,,0.992555235351
90.0,1534172268.33,35.9694324381,36.7226367838,5.36029481743,0.993035542747
