epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
1,1531750158.36,46.8022646623,46.710810493,,0.986071085495
6,1531750305.26,42.6442631553,42.702364024,,0.991594620557
11,1531750448.86,41.6229662615,41.8136409872,,0.99111431316
16,1531750593.61,41.0564851761,41.2657293432,,0.995437079731
21,1531750736.45,40.7835254669,41.079636686,,0.994716618636
26,1531750880.35,40.6653110841,40.8539664325,,0.993996157541
31,1531751029.17,40.1909754136,40.6497304019,,0.993515850144
36,1531751177.59,40.1385140139,40.5439901352,,0.994716618636
41,1531751326.49,40.226423544,40.6536813063,,0.990153698367
46,1531751472.13,39.9037795347,40.3753181906,,0.996397694524
51,1531751621.42,39.7568005955,40.2741213967,,0.994476464938
56,1531751763.83,39.6809781579,40.2344589794,,0.996637848223
61,1531751908.82,39.679167467,40.2328584895,,0.995917387128
66,1531752052.99,39.5988491844,40.1746177112,,0.993996157541
71,1531752202.86,39.7658216252,40.1839959201,,0.992795389049
76,1531752352.13,39.5265692543,40.1576325473,,0.996397694524
81,1531752501.81,39.6454275356,40.1922228196,,0.993035542747
86,1531752646.07,39.4770317639,40.1371983921,,0.993515850144
