epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
1,1534266127.8,60.1069238836,59.7995092219,,1.0
2,1534266149.61,66.7799016779,67.0852283131,,0.893740902475
3,1534266170.8,68.2240503485,67.9074582187,,0.950509461426
4,1534266191.77,69.0181003917,69.1890168623,,0.963609898108
5,1534266212.41,69.7674463445,69.6481600675,,0.844250363901
6,1534266233.38,86.6250277433,86.8259436867,,0.842794759825
7,1534266254.67,95.0087072199,96.201431968,,0.807860262009
8,1534266275.52,89.8984409679,86.9254712191,,0.886462882096
9,1534266295.69,75.4653133046,76.9697376598,,0.828238719068
10.0,1534266340.82,76.8954134854,77.8840179443,18.1606453947,0.82096069869
11,1534266362.5,73.5802286321,74.9582699862,,0.854439592431
12,1534266383.97,73.4419222745,75.4071558172,,0.864628820961
13,1534266405.61,72.945832686,73.5500710227,,0.876273653566
14,1534266426.79,68.8826453469,70.6345131614,,0.941775836972
15,1534266448.34,74.0698803988,74.7333623713,,0.902474526929
16,1534266469.94,69.8199206266,70.4583060525,,0.92576419214
17,1534266491.68,69.0932312012,71.2756451693,,0.892285298399
18,1534266512.43,69.0667932684,70.0963661887,,0.934497816594
19,1534266533.58,70.7237805453,71.3677132346,,0.914119359534
20.0,1534266578.93,72.9573537653,73.1892041293,15.0643783565,0.902474526929
21,1534266599.48,73.0384271795,76.7774020108,,0.931586608443
22,1534266621.16,71.6893865412,75.0712238659,,0.899563318777
23,1534266642.5,68.5591153232,69.7527223067,,0.930131004367
24,1534266662.61,72.7264536077,73.8436445756,,0.893740902475
25,1534266684.22,65.7316839045,67.4453152743,,0.966521106259
26,1534266705.69,70.6446151733,71.4615485451,,0.918486171761
27,1534266727.2,69.2239733609,70.495129672,,0.918486171761
28,1534266748.31,67.1521949768,68.5919411399,,0.93595342067
29,1534266769.58,71.863562844,75.4053067294,,0.912663755459
30.0,1534266814.92,70.2198826183,70.7032214078,13.0085970174,0.924308588064
31,1534266836.17,69.8259575584,74.064414978,,0.933042212518
32,1534266856.99,69.751885154,73.2885256681,,0.938864628821
33,1534266877.82,68.7605958418,70.7910218672,,0.914119359534
34,1534266899.07,68.8106883656,70.1732260964,,0.919941775837
35,1534266920.09,70.1557603316,72.1165931008,,0.934497816594
36,1534266940.83,69.5742894953,71.6195838235,,0.886462882096
37,1534266961.29,67.7626266479,70.2353397716,,0.938864628821
