epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
1,1534259412.67,51.703549125,51.824627963,,1.0
2,1534259434.69,47.4476040927,47.5569194447,,1.0
3,1534259456.38,45.6007423401,45.6143230091,,1.0
4,1534259478.15,44.0079435869,44.2673343312,,1.0
5,1534259499.11,43.1220110113,43.4399577054,,1.0
6,1534259520.88,43.000318007,43.2535389987,,1.0
7,1534259542.69,42.4231206721,42.6986101324,,0.997088791849
8,1534259564.31,41.961020383,42.0685060674,,1.0
9,1534259585.48,41.7560247941,41.9821600481,,1.0
10.0,1534259630.55,41.3748175881,41.6900950345,7.25534224677,1.0
11,1534259652.36,41.0156652277,41.3810081482,,0.998544395924
12,1534259674.3,40.8303670016,41.3064041138,,1.0
13,1534259695.58,40.9312060963,41.021959825,,1.0
14,1534259717.09,40.4609402743,40.8088462136,,1.0
15,1534259738.97,40.3461744135,40.6874035922,,1.0
16,1534259760.47,40.9458749945,41.1969424161,,1.0
17,1534259782.03,39.8615431352,40.2178757407,,1.0
18,1534259803.02,39.538691434,40.1605744795,,1.0
19,1534259824.65,39.6415082758,40.1766763167,,1.0
20.0,1534259868.42,39.454640822,40.0010056929,6.70396185304,1.0
21,1534259890.35,38.9479820945,39.7972769304,,1.0
22,1534259912.28,38.8792010221,39.8213209672,,1.0
23,1534259932.99,38.6240085255,39.6086828058,,1.0
24,1534259954.8,38.964852073,39.5621084733,,1.0
25,1534259976.44,38.8541637767,39.5366963473,,1.0
26,1534259997.83,38.7685116855,39.4690867337,,1.0
27,1534260019.21,39.0330439481,39.6767512235,,1.0
28,1534260041.29,38.4217758179,39.1237848455,,1.0
29,1534260062.05,38.1555630077,39.209227822,,1.0
30.0,1534260106.72,38.176143993,39.2317383506,6.55750189726,1.0
31,1534260128.53,38.4859192588,39.4246552207,,1.0
32,1534260150.04,38.3044114546,39.1589782021,,1.0
33,1534260171.89,38.3178801103,39.0444453846,,1.0
34,1534260193.56,37.8624354276,38.9650865035,,1.0
35,1534260215.44,37.739826896,38.8868370056,,1.0
36,1534260236.99,37.8564241583,38.903203444,,1.0
37,1534260258.27,37.6764342568,38.984545621,,1.0
38,1534260279.68,37.8095217618,39.215564381,,1.0
39,1534260301.55,37.6458327553,38.882322138,,0.998544395924
40.0,1534260345.84,37.5866976651,38.8486241427,6.41029929304,1.0
41,1534260367.05,37.490322113,38.8798817721,,1.0
42,1534260387.67,37.7109447826,38.8658592918,,1.0
43,1534260408.88,37.5631204085,38.9083966342,,1.0
44,1534260430.61,37.4323782487,38.8367951133,,1.0
45,1534260452.0,37.2981525768,38.6835514415,,1.0
46,1534260472.8,36.9470589378,38.5554691661,,1.0
47,1534260495.01,37.2651887373,38.6275038286,,1.0
48,1534260516.51,37.1123019132,38.6813930165,,1.0
49,1534260538.1,37.3415249911,38.8421710621,,1.0
50.0,1534260581.3,37.3107851202,38.6578653509,6.2915182871,1.0
51,1534260602.31,36.6925270774,38.579017986,,1.0
52,1534260623.71,37.0091850974,38.7462335066,,1.0
53,1534260645.0,37.0598109852,38.7381095886,,1.0
54,1534260666.35,36.9261703491,38.5383758545,,1.0
55,1534260687.18,37.1017886075,38.7996305986,,1.0
56,1534260708.89,37.2312358509,38.6453087547,,1.0
57,1534260730.06,37.0707106157,38.7414016724,,1.0
58,1534260751.55,36.6939482255,38.5549049377,,1.0
59,1534260772.42,36.8828624379,38.6978343617,,1.0
60.0,1534260816.01,36.9005418257,38.4516261708,6.26910855264,1.0
61,1534260837.18,36.8471762917,38.8075055209,,1.0
62,1534260857.89,36.6285348372,38.6133911826,,1.0
63,1534260879.14,36.3699153553,38.5160602223,,1.0
64,1534260899.47,36.7526484403,38.7549011924,,1.0
65,1534260920.01,36.4345966686,38.633851138,,1.0
66,1534260941.13,36.3573813005,38.6126594543,,1.0
67,1534260961.41,36.6011619568,38.6973994862,,1.0
68,1534260982.06,36.584815979,38.656360973,,1.0
69,1534261003.1,36.1984228654,38.6346171986,,1.0
70.0,1534261047.4,36.4728889465,38.7421167547,6.29711427192,1.0
71,1534261068.61,36.2100538774,38.7593772195,,1.0
72,1534261089.32,36.4117761092,38.7769355774,,1.0
73,1534261109.96,36.4783155268,38.8704525341,,1.0
74,1534261131.19,36.2874416005,38.5686541471,,1.0
75,1534261152.47,36.4242272811,38.6410997564,,1.0
76,1534261174.27,36.2985288447,38.9179247076,,1.0
77,1534261195.32,36.4714802829,38.7401847839,,1.0
78,1534261217.84,36.3388990922,38.9557814165,,1.0
79,1534261239.1,36.0352124301,38.6684178439,,1.0
80.0,1534261283.17,36.1970259927,38.65687457,6.22516304565,1.0
81,1534261304.45,36.4539170699,39.0356043035,,1.0
82,1534261325.93,36.346186898,38.685836792,,1.0
83,1534261347.45,35.943462025,38.7491801869,,1.0
84,1534261368.59,36.2314300537,39.008205067,,1.0
85,1534261390.78,35.9397506714,38.774731376,,1.0
86,1534261412.0,36.1007180647,38.8875999451,,1.0
87,1534261432.97,36.5125704679,39.0692034635,,1.0
88,1534261454.29,36.1872936596,39.0376996127,,1.0
89,1534261475.84,36.1907494285,38.9949711886,,1.0
90.0,1534261519.88,36.1064043912,39.0990902294,6.3033431813,1.0
