epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
90.0,1534268263.94,65.4202381481,69.2418268377,11.7502354597,0.934497816594
91,1534268285.2,66.6260993264,69.0425033569,,0.937409024745
92,1534268306.52,66.7534106861,71.938821966,,0.914119359534
93,1534268327.35,67.9826868231,70.7371923273,,0.937409024745
94,1534268348.08,67.1828620217,69.7902395075,,0.946142649199
95,1534268369.3,67.0346097079,70.9521331787,,0.953420669578
96,1534268391.57,67.8186603893,70.2990112305,,0.973799126638
97,1534268412.77,66.7734829296,70.9202374545,,0.949053857351
98,1534268434.03,68.2556187023,71.9466386275,,0.91557496361
99,1534268455.67,68.5994512385,71.26938213,,0.947598253275
100.0,1534268499.8,67.9779753252,71.422075445,12.2018329466,0.917030567686
101,1534268521.09,66.4267279885,71.2710841786,,0.962154294032
102,1534268542.28,65.9847686074,69.0461294001,,0.96943231441
103,1534268563.28,65.8400018865,70.1214856234,,0.953420669578
104,1534268583.89,67.1753172441,72.7333276922,,0.951965065502
105,1534268604.88,66.0205768238,70.170544711,,0.96943231441
106,1534268625.51,68.2281833995,73.6918716431,,0.940320232897
107,1534268646.36,68.1444251321,73.2553787231,,0.940320232897
108,1534268667.63,68.7782606645,71.4824738936,,0.941775836972
109,1534268687.79,66.7871502963,71.3766812411,,0.931586608443
110.0,1534268730.62,66.4802530462,71.020994013,11.92311406,0.938864628821
111,1534268751.27,67.7520516135,71.6837921143,,0.943231441048
112,1534268772.98,68.4100189209,72.8315589211,,0.919941775837
113,1534268794.83,68.0840849443,72.6517347856,,0.931586608443
114,1534268816.1,66.4152832031,71.067088734,,0.965065502183
115,1534268836.52,68.3121955178,71.8941546353,,0.963609898108
116,1534268857.32,67.6026042591,70.944754167,,0.962154294032
117,1534268878.82,66.3649898876,69.9677165638,,0.970887918486
118,1534268899.57,66.8851040927,71.0630541715,,0.960698689956
119,1534268920.82,69.3831308538,72.9658827348,,0.938864628821
120.0,1534268965.32,69.816159335,73.5127327659,12.3528526402,0.924308588064
121,1534268987.05,68.0186906294,72.0873912464,,0.943231441048
122,1534269007.31,68.0120107477,72.6718701449,,0.914119359534
123,1534269028.57,66.8833299117,71.5732366388,,0.944687045124
124,1534269049.83,67.8589664806,71.5597672896,,0.941775836972
125,1534269071.14,68.6461868286,72.6822669289,,0.950509461426
126,1534269092.77,66.6285934448,70.4943799106,,0.966521106259
127,1534269114.49,68.0201714256,72.0658354326,,0.931586608443
128,1534269136.41,67.593609203,70.5216487538,,0.96943231441
129,1534269157.46,68.5497596047,72.6478652954,,0.940320232897
130.0,1534269202.37,67.8679136796,72.1598545421,12.1689401848,0.928675400291
131,1534269223.69,66.3111953735,70.7249714244,,0.957787481805
132,1534269244.94,66.7020208185,70.9760485562,,0.970887918486
133,1534269265.37,70.1143999967,74.6088950417,,0.951965065502
134,1534269286.62,67.9443706166,72.0016680631,,0.940320232897
135,1534269307.25,65.6286045421,70.6495909257,,0.949053857351
136,1534269327.92,66.0075052435,70.9246458574,,0.941775836972
137,1534269349.19,65.5962406505,69.9434127808,,0.96943231441
138,1534269370.92,68.8582722057,73.4181359031,,0.928675400291
139,1534269391.13,68.8215651079,73.374880704,,0.918486171761
140.0,1534269435.1,67.0033447959,71.4803106135,11.7850560649,0.93595342067
141,1534269456.14,70.5328604958,75.0164441195,,0.918486171761
142,1534269476.72,69.4764855125,73.2897713401,,0.906841339156
143,1534269497.67,67.5181565718,72.9599657926,,0.950509461426
144,1534269519.05,66.2016750682,71.5550974066,,0.943231441048
145,1534269540.0,66.4092674255,69.621822704,,0.967976710335
146,1534269560.84,70.9320560802,73.9266912287,,0.927219796215
147,1534269582.51,67.8059789484,72.3853690407,,0.93595342067
148,1534269603.87,66.652373574,71.9984366677,,0.934497816594
149,1534269624.75,68.0654071461,71.0280290083,,0.960698689956
150.0,1534269668.55,70.131937894,74.1959512884,12.3787637128,0.922852983988
151,1534269690.0,66.621991591,70.6969715465,,0.956331877729
152,1534269711.21,69.0235040838,72.1315279874,,0.938864628821
153,1534269732.31,67.1660114635,72.109562267,,0.944687045124
154,1534269752.88,67.1285875494,70.166348544,,0.96943231441
155,1534269774.01,67.8948683305,71.4394649159,,0.951965065502
156,1534269795.34,68.2030396895,71.2254125422,,0.941775836972
157,1534269816.38,67.4570125233,71.0332932906,,0.933042212518
158,1534269837.6,67.2473952553,71.2974048961,,0.933042212518
159,1534269858.94,70.2903490934,74.2652012218,,0.92576419214
160.0,1534269903.42,65.7977558483,70.7474018444,11.6407664963,0.931586608443
161,1534269924.56,66.3869431236,70.5151200728,,0.954876273654
162,1534269946.14,66.7645589655,70.2493515015,,0.953420669578
163,1534269967.04,67.048930775,70.7536225752,,0.938864628821
164,1534269988.47,67.3132830533,71.6338098699,,0.949053857351
165,1534270009.76,67.802644903,72.0320739746,,0.922852983988
166,1534270031.21,68.0138799494,72.4892252142,,0.938864628821
167,1534270051.88,68.5393544977,72.5085511641,,0.924308588064
168,1534270072.55,65.7418632507,70.028013056,,0.978165938865
169,1534270093.51,68.4966721968,71.4861034047,,0.963609898108
170.0,1534270137.78,68.9391736117,73.0591777455,12.6488394556,0.924308588064
171,1534270158.36,69.8440940163,73.7419759577,,0.956331877729
172,1534270179.47,67.7505132502,71.2455728704,,0.962154294032
173,1534270201.08,69.135699879,73.4842147827,,0.90538573508
174,1534270221.67,68.4686438821,71.521446228,,0.967976710335
175,1534270242.78,67.9968317205,71.6989940297,,0.954876273654
176,1534270264.04,66.2603326277,70.878689159,,0.959243085881
177,1534270284.83,67.0295500322,72.3881260265,,0.928675400291
178,1534270306.07,67.3747610612,72.2378900701,,0.912663755459
179,1534270327.86,66.0817506964,71.3865446611,,0.947598253275
