epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
90.0,1534261564.52,31.1535634128,32.4312106046,5.45085605691,1.0
91,1534261585.41,30.7230396271,32.1329763586,,1.0
92,1534261606.94,30.6360551661,32.0322499709,,1.0
93,1534261628.06,30.5096830888,31.8614182906,,1.0
94,1534261649.71,30.4657107267,31.8935470581,,1.0
95,1534261670.62,30.3255290985,31.7369735024,,1.0
96,1534261692.17,30.4004722942,31.7717517506,,1.0
97,1534261713.15,30.2901359905,31.7373622547,,1.0
98,1534261734.97,29.8846073151,31.7613294775,,1.0
99,1534261756.03,30.2495392886,31.7301231731,,1.0
100.0,1534261799.5,30.0331909873,31.6463239843,5.28872557771,1.0
101,1534261820.3,30.1565527482,31.6196254383,,1.0
102,1534261841.24,30.0775625055,31.831898776,,1.0
103,1534261862.46,30.2773491253,31.6969172738,,1.0
104,1534261883.49,30.0149867318,31.6955047954,,1.0
105,1534261904.77,29.9875677282,31.6358176145,,1.0
106,1534261925.69,30.0900504372,31.6581067172,,1.0
107,1534261947.69,30.1456950795,31.7959062403,,0.998544395924
108,1534261968.39,30.0932797519,31.6484354193,,1.0
109,1534261989.69,29.9745958502,31.6936994032,,1.0
110.0,1534262033.53,29.8736017401,31.6095534238,5.29212659135,1.0
111,1534262054.88,30.0324578719,31.6726649891,,1.0
112,1534262076.98,29.7249303298,31.5842432542,,1.0
113,1534262098.61,29.8362189206,31.5919657621,,1.0
114,1534262119.63,29.7878230702,31.6838732633,,1.0
115,1534262140.45,29.8603248596,31.6818273718,,1.0
116,1534262161.79,29.8959087025,31.6400307742,,1.0
117,1534262182.39,29.7559741627,31.7630462646,,1.0
118,1534262203.39,29.7339650934,31.6509610956,,1.0
119,1534262224.81,29.9004705602,31.6211612008,,1.0
120.0,1534262267.99,29.8492861661,31.763456518,5.30786587797,1.0
121,1534262289.4,29.7322559357,31.7154532346,,1.0
122,1534262310.51,29.8575628454,31.8306891701,,1.0
123,1534262331.4,29.8112062974,31.6197776794,,1.0
124,1534262353.28,29.7695621144,31.7083492279,,1.0
125,1534262374.49,29.8689658425,31.6861097162,,1.0
126,1534262395.77,29.7920180234,31.7372611653,,1.0
127,1534262417.47,29.8546907252,31.8743651997,,1.0
128,1534262438.93,29.6887021498,31.6795746196,,1.0
129,1534262460.93,29.597345699,31.7054594213,,1.0
130.0,1534262504.57,29.6503724185,31.5782163793,5.28060702463,1.0
131,1534262525.83,29.6693356254,31.8379523537,,1.0
132,1534262546.36,29.7843714627,31.7808199796,,1.0
133,1534262567.85,29.6648091403,31.7513399991,,1.0
134,1534262589.41,29.6931923953,31.6711574901,,1.0
135,1534262610.48,29.5213590102,31.6120213595,,1.0
136,1534262631.71,29.5821515864,31.6951978857,,1.0
137,1534262653.04,29.6699907129,31.7857761383,,1.0
138,1534262674.06,29.604072224,31.8749700026,,1.0
139,1534262696.22,29.5585956573,31.7514837438,,1.0
140.0,1534262740.37,29.6518552954,31.7453611547,5.30013242731,1.0
141,1534262762.75,29.381362915,31.755177758,,1.0
142,1534262783.52,29.7103032199,31.8260175532,,1.0
143,1534262804.31,29.596001365,31.7191318165,,1.0
144,1534262826.42,29.4870456349,31.8526646007,,1.0
145,1534262848.84,29.3871548393,31.7421772697,,1.0
146,1534262870.97,29.4570511905,31.7954878374,,1.0
147,1534262892.5,29.4521865845,31.8837899295,,1.0
148,1534262913.29,29.5907010165,31.9225862676,,1.0
149,1534262934.68,29.4483613101,31.810249502,,1.0
150.0,1534262979.4,29.4762333957,31.8842013966,5.3086537416,1.0
151,1534263000.91,29.4471785805,31.7795717066,,1.0
152,1534263022.19,29.4870908911,31.8929791884,,1.0
153,1534263044.5,29.5316481157,31.8144950867,,1.0
154,1534263065.31,29.4188837572,31.9204177856,,1.0
155,1534263086.83,29.2324844707,31.796965339,,1.0
156,1534263108.04,29.3691860546,31.8790572773,,1.0
157,1534263129.81,29.356968793,31.8911021839,,1.0
158,1534263152.02,29.285629966,31.9221037084,,1.0
159,1534263173.06,29.5111975236,31.9935642589,,1.0
160.0,1534263217.78,29.3797874451,31.9692277041,5.33704463202,1.0
161,1534263239.34,29.4137261131,31.8968982697,,1.0
162,1534263260.39,29.4838563746,31.9933053797,,1.0
163,1534263282.28,29.3638929887,31.8674999584,,1.0
164,1534263302.7,29.5608473691,31.8993252841,,1.0
165,1534263323.62,29.3043055101,31.9974925301,,1.0
166,1534263344.97,29.3652935028,31.94904154,,1.0
167,1534263366.04,29.515090769,32.0446177396,,1.0
168,1534263388.06,29.2787964561,31.883242347,,1.0
169,1534263410.03,29.2165187489,32.0905316093,,1.0
170.0,1534263454.84,29.2075706829,32.0706492337,5.3604414557,1.0
171,1534263476.64,29.5343374773,32.0158275257,,1.0
172,1534263498.92,29.2945206382,31.8657734611,,1.0
173,1534263520.49,29.3493357572,32.0983033614,,1.0
174,1534263541.82,29.4916409579,32.0286100561,,1.0
175,1534263563.6,29.2324366136,32.0490540591,,1.0
176,1534263584.6,29.3224168257,32.1325985302,,1.0
177,1534263605.77,29.4612586282,32.1852507158,,1.0
178,1534263627.31,29.3005525416,31.9948666312,,1.0
179,1534263649.41,29.2598443465,31.9863546545,,1.0
